generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Rana_weiningensis,Rana_shuchinae,0,0.032,0,0.005,0
100000,Rana_weiningensis,Rana_shuchinae,0,0.157936,-0.0241825,0.00370995,0
200000,Rana_weiningensis,Rana_shuchinae,0,0.17226,-0.0292496,0.0028512,0
200000,Rana_weiningensis,NA,16.8366,0.109942,-0.0301289,0.313146,0
200000,Rana_asiatica,NA,36.699,0.291396,-0.0285176,0.190559,0
300000,Rana_weiningensis,Rana_shuchinae,0,0.239058,-0.0300296,0.0145224,0
300000,Rana_weiningensis,NA,13.6474,0.0602496,-0.000669504,0.142924,0
400000,Rana_weiningensis,Rana_shuchinae,0,0.190953,-0.0264853,0.0247131,0
500000,Rana_weiningensis,Rana_shuchinae,0,0.149602,-0.0256405,0.0145703,0
600000,Rana_weiningensis,Rana_shuchinae,0,0.166244,-0.0276663,0.00364588,0
600000,Rana_shuchinae,NA,44.0173,0.0371766,-0.00637804,0.0840441,0
700000,Rana_weiningensis,Rana_shuchinae,0,0.104192,-0.015019,0.00530402,0
800000,Rana_weiningensis,Rana_shuchinae,0,0.162085,-0.0218237,0.00683384,0
900000,Rana_weiningensis,Rana_shuchinae,0,0.246002,-0.038453,0.0132007,0
1000000,Rana_weiningensis,Rana_shuchinae,0,0.160204,-0.026086,0.00115245,0
1000000,Rana_weiningensis,NA,19.6022,0.00804478,0.0267982,0.0287729,0
1100000,Rana_weiningensis,Rana_shuchinae,0,0.188839,-0.0281126,0.0317459,0
1200000,Rana_weiningensis,Rana_shuchinae,0,0.152309,-0.0288125,0.0084614,0
1200000,Rana_sylvatica,NA,42.248,0.0487149,-0.021533,0.520666,0
1300000,Rana_weiningensis,Rana_shuchinae,0,0.171264,-0.0322017,0.0014227,0
1300000,Rana_tagoi,NA,44.8375,0.156601,0.0198881,0.199563,0
1400000,Rana_weiningensis,Rana_shuchinae,0,0.189895,-0.0310428,0.0184887,0
1400000,Rana_weiningensis,NA,45.7987,0.764017,-0.00774833,1.69421,0
1500000,Rana_weiningensis,Rana_shuchinae,0,0.167514,-0.0290044,0.00405944,0
1600000,Rana_weiningensis,Rana_shuchinae,0,0.146004,-0.0222852,0.00861254,0
1700000,Rana_weiningensis,Rana_shuchinae,0,0.194162,-0.0331574,0.0168219,0
1800000,Rana_weiningensis,Rana_shuchinae,0,0.106811,-0.0165915,0.00283023,0
1900000,Rana_weiningensis,Rana_shuchinae,0,0.174953,-0.0270962,0.00365065,0
2000000,Rana_weiningensis,Rana_shuchinae,0,0.185127,-0.0328339,0.0254314,0
2100000,Rana_weiningensis,Rana_shuchinae,0,0.0918493,-0.0126415,0.00162995,0
2200000,Rana_weiningensis,Rana_shuchinae,0,0.142186,-0.0320329,0.00060031,0
2300000,Rana_weiningensis,Rana_shuchinae,0,0.197431,-0.0326057,0.00701738,0
2400000,Rana_weiningensis,Rana_shuchinae,0,0.335791,-0.0468108,0.00306269,0
2400000,Rana_weiningensis,NA,5.15159,0.0327167,0.0551687,0.0605641,0
2500000,Rana_weiningensis,Rana_shuchinae,0,0.144273,-0.0209438,0.022743,0
2600000,Rana_weiningensis,Rana_shuchinae,0,0.227234,-0.031591,0.000737565,0
2700000,Rana_weiningensis,Rana_shuchinae,0,0.195754,-0.0250426,0.028355,0
2800000,Rana_weiningensis,Rana_shuchinae,0,0.216688,-0.0300445,0.00895506,0
2900000,Rana_weiningensis,Rana_shuchinae,0,0.194262,-0.0301935,0.000254575,0
3000000,Rana_weiningensis,Rana_shuchinae,0,0.193544,-0.0250953,0.0148413,0
3000000,Rana_palmipes,NA,42.0384,0.653501,0.0194793,0.703587,0
3100000,Rana_weiningensis,Rana_shuchinae,0,0.179192,-0.0246423,0.00453301,0
3200000,Rana_weiningensis,Rana_shuchinae,0,0.199327,-0.0378337,0.00765817,0
3300000,Rana_weiningensis,Rana_shuchinae,0,0.139213,-0.0242306,0.00611775,0
3400000,Rana_weiningensis,Rana_shuchinae,0,0.16835,-0.0299109,0.0102166,0
3400000,Rana_omeimontis,Rana_hanluica,40.2064,0.128726,-0.0223876,0.0754058,0
3500000,Rana_weiningensis,Rana_shuchinae,0,0.200572,-0.0344512,0.00738078,0
3500000,Rana_spectabilis,NA,46.7746,0.379016,-0.00268532,0.0263317,0
3600000,Rana_weiningensis,Rana_shuchinae,0,0.162396,-0.0200155,0.029354,0
3700000,Rana_weiningensis,Rana_shuchinae,0,0.224292,-0.00990351,0.339595,0
3700000,Rana_shuchinae,Rana_sylvatica,3.02981,0.246675,-0.0376178,0.00373052,0
3800000,Rana_weiningensis,Rana_shuchinae,0,0.152143,-0.0221943,0.000174911,0
3800000,Rana_weiningensis,NA,30.4207,0.073287,-0.00170859,0.373239,0
3900000,Rana_weiningensis,Rana_shuchinae,0,0.137253,-0.0118759,0.0527943,0
4000000,Rana_weiningensis,Rana_shuchinae,0,0.195997,-0.0294681,0.00575075,0
4100000,Rana_weiningensis,Rana_shuchinae,0,0.16495,-0.0187032,0.0612719,0
4200000,Rana_weiningensis,Rana_shuchinae,0,0.118588,-0.0156415,0.00791834,0
4200000,Rana_luteiventris,NA,40.6294,0.0158651,0.0169254,0.184072,0
4300000,Rana_weiningensis,Rana_shuchinae,0,0.192811,-0.0281853,0.00936181,0
4400000,Rana_weiningensis,Rana_shuchinae,0,0.141114,-0.0270671,0.000845887,0
4400000,Rana_shuchinae,NA,32.7109,0.178816,-0.00728752,0.284543,0
4500000,Rana_weiningensis,Rana_shuchinae,0,0.109094,-0.0132991,0.0120288,0
4600000,Rana_weiningensis,Rana_shuchinae,0,0.165897,-0.0268114,0.00802297,0
4600000,Rana_weiningensis,NA,24.8775,0.275708,-0.0112689,0.401297,0
4700000,Rana_weiningensis,Rana_shuchinae,0,0.174753,-0.0333793,0.00212938,0
4800000,Rana_weiningensis,Rana_shuchinae,0,0.253546,-0.0371091,0.00333013,0
4800000,Rana_amurensis,Rana_coreana,29.4079,0.126724,0.00260506,0.086681,0
4900000,Rana_weiningensis,Rana_shuchinae,0,0.147829,-0.0232264,0.000191262,0
5000000,Rana_weiningensis,Rana_shuchinae,0,0.150138,-0.0218849,0.0186141,0
5100000,Rana_weiningensis,Rana_shuchinae,0,0.240483,-0.0343537,0.0123919,0
5200000,Rana_weiningensis,Rana_shuchinae,0,0.180363,-0.0306312,0.0040365,0
5300000,Rana_weiningensis,Rana_shuchinae,0,0.222455,-0.0359222,0.015585,0
5400000,Rana_weiningensis,Rana_shuchinae,0,0.251802,-0.0343657,0.0337554,0
5500000,Rana_weiningensis,Rana_shuchinae,0,0.181367,-0.0301539,0.0151622,0
5600000,Rana_weiningensis,Rana_shuchinae,0,0.348486,-0.0441264,0.0142855,0
