generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Rana_shuchinae,Rana_sylvatica,0,0.032,0,0.005,0
10000,Rana_shuchinae,Rana_sylvatica,0,0.116168,-0.0129627,0.00672848,0
20000,Rana_shuchinae,Rana_sylvatica,0,0.223909,-0.0358328,0.0124724,0
30000,Rana_shuchinae,Rana_sylvatica,0,0.193335,-0.0414378,0.00408156,0
40000,Rana_shuchinae,Rana_sylvatica,0,0.132859,-0.0237226,0.00499817,0
50000,Rana_shuchinae,Rana_sylvatica,0,0.119952,-0.029213,0.0208746,0
60000,Rana_shuchinae,Rana_sylvatica,0,0.2347,-0.0407663,0.0177852,0
70000,Rana_shuchinae,Rana_sylvatica,0,0.145898,-0.0246217,0.00989475,0
80000,Rana_shuchinae,Rana_sylvatica,0,0.149693,-0.0217428,0.0319905,0
90000,Rana_shuchinae,Rana_sylvatica,0,0.365708,-0.0549224,0.022821,0
100000,Rana_shuchinae,Rana_sylvatica,0,0.140162,-0.03126,0.00171383,0
110000,Rana_shuchinae,Rana_sylvatica,0,0.369402,-0.0503991,0.0239493,0
120000,Rana_shuchinae,Rana_sylvatica,0,0.153001,-0.023136,0.00969974,0
130000,Rana_shuchinae,Rana_sylvatica,0,0.194125,-0.0456728,0.00672841,0
140000,Rana_shuchinae,Rana_sylvatica,0,0.223002,-0.0340023,0.0178832,0
150000,Rana_shuchinae,Rana_sylvatica,0,0.216365,-0.0413655,0.0155014,0
160000,Rana_shuchinae,Rana_sylvatica,0,0.136054,-0.0230638,0.00221727,0
170000,Rana_shuchinae,Rana_sylvatica,0,0.105354,-0.018118,0.00678057,0
170000,Rana_johnsi,NA,39.4762,0.917944,-0.0605297,0.528009,0
180000,Rana_shuchinae,Rana_sylvatica,0,0.218767,-0.0438579,0.00119241,0
180000,Rana_sakuraii,NA,38.4122,0.0598599,0.0520029,0.215516,0
190000,Rana_shuchinae,Rana_sylvatica,0,0.170711,-0.0308171,0.013534,0
200000,Rana_shuchinae,Rana_sylvatica,0,0.144611,-0.0270906,0.0107279,0
210000,Rana_shuchinae,Rana_sylvatica,0,0.102673,-0.0137571,0.000228125,0
220000,Rana_shuchinae,Rana_sylvatica,0,0.231598,-0.0371703,0.0150864,0
230000,Rana_shuchinae,Rana_sylvatica,0,0.231217,-0.0482205,0.0114469,0
240000,Rana_shuchinae,Rana_sylvatica,0,0.257125,-0.0441989,0.03527,0
250000,Rana_shuchinae,Rana_sylvatica,0,0.141581,-0.022414,0.0124337,0
250000,Rana_heckscheri,NA,42.1824,0.848241,0.00474668,0.708239,0
260000,Rana_shuchinae,Rana_sylvatica,0,0.138718,-0.0286793,3.12358e-006,0
270000,Rana_shuchinae,Rana_sylvatica,0,0.147384,-0.0284816,0.0173345,0
280000,Rana_shuchinae,Rana_sylvatica,0,0.291511,-0.0318669,0.0618938,0
290000,Rana_shuchinae,Rana_sylvatica,0,0.191923,-0.0405666,0.00723093,0
300000,Rana_shuchinae,Rana_sylvatica,0,0.240767,-0.0348388,0.0182199,0
310000,Rana_shuchinae,Rana_sylvatica,0,0.187757,-0.0241859,0.0301821,0
320000,Rana_shuchinae,Rana_sylvatica,0,0.170955,-0.0216528,0.0127918,0
320000,Rana_shuchinae,NA,36.4625,0.0685696,-0.038858,0.305322,0
330000,Rana_shuchinae,Rana_sylvatica,0,0.163602,-0.0379573,0.00173869,0
340000,Rana_shuchinae,Rana_sylvatica,0,0.103277,-0.0122898,0.00319917,0
340000,Rana_magnaocularis,NA,41.8205,0.488059,0.0128069,0.408934,0
350000,Rana_shuchinae,Rana_sylvatica,0,0.282324,-0.037204,0.0571591,0
360000,Rana_shuchinae,Rana_sylvatica,0,0.211214,-0.0323555,0.0153709,0
370000,Rana_shuchinae,Rana_sylvatica,0,0.0875262,-0.0180183,0.00152037,0
380000,Rana_shuchinae,Rana_sylvatica,0,0.179322,-0.0347061,0.000909431,0
390000,Rana_shuchinae,Rana_sylvatica,0,0.146631,-0.0322893,0.00175032,0
400000,Rana_shuchinae,Rana_sylvatica,0,0.181837,-0.0267167,0.0150712,0
410000,Rana_shuchinae,Rana_sylvatica,0,0.110172,-0.0240693,0.00141208,0
420000,Rana_shuchinae,Rana_sylvatica,0,0.134018,-0.022049,0.00317006,0
430000,Rana_shuchinae,Rana_sylvatica,0,0.146848,-0.0258421,0.0121934,0
430000,Rana_graeca,NA,35.5744,0.283818,0.0116056,0.239715,0
430000,Rana_pirica,NA,40.7978,0.127488,0.0373014,0.857217,0
