generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Rana_sylvatica,Rana_septentrionalis,0,0.032,0,0.005,0
10000,Rana_sylvatica,Rana_septentrionalis,0,0.39826,-0.048125,0.0970978,0
20000,Rana_sylvatica,Rana_septentrionalis,0,0.130461,-0.0207903,0.0283815,0
30000,Rana_sylvatica,Rana_septentrionalis,0,0.232685,-0.0535943,0.0187487,0
40000,Rana_sylvatica,Rana_septentrionalis,0,0.13601,-0.0209962,0.0163963,0
50000,Rana_sylvatica,Rana_septentrionalis,0,0.170986,-0.0416834,0.0240463,0
60000,Rana_sylvatica,Rana_septentrionalis,0,0.251765,-0.0340177,0.0633395,0
70000,Rana_sylvatica,Rana_septentrionalis,0,0.0908112,-0.0243547,0.000464475,0
80000,Rana_sylvatica,Rana_septentrionalis,0,0.317096,-0.050414,0.0356024,0
80000,Rana_sylvatica,NA,9.81911,0.209358,0.00764533,0.370888,0
90000,Rana_sylvatica,Rana_septentrionalis,0,0.0890096,-0.0112511,0.0022858,0
100000,Rana_sylvatica,Rana_septentrionalis,0,0.24651,-0.0410758,0.0913967,0
110000,Rana_sylvatica,Rana_septentrionalis,0,0.2207,-0.0322573,0.0406378,0
120000,Rana_sylvatica,Rana_septentrionalis,0,0.108522,-0.0327809,0.0185309,0
120000,Rana_sylvatica,NA,7.84831,0.0732801,-0.014531,0.19238,0
130000,Rana_sylvatica,Rana_septentrionalis,0,0.133751,-0.0336654,0.00279641,0
140000,Rana_sylvatica,Rana_septentrionalis,0,0.11239,-0.0106011,0.00029181,0
150000,Rana_sylvatica,Rana_septentrionalis,0,0.29798,-0.0504625,0.0627229,0
160000,Rana_sylvatica,Rana_septentrionalis,0,0.187228,-0.0173058,0.0575713,0
170000,Rana_sylvatica,Rana_septentrionalis,0,0.0227209,-0.0301498,0.0183112,0
170000,Rana_septentrionalis,Rana_maculata,1.3215,0.189098,-0.0329564,0.00425146,0
180000,Rana_sylvatica,Rana_septentrionalis,0,0.151435,-0.0225011,0.026085,0
190000,Rana_sylvatica,Rana_septentrionalis,0,0.228355,-0.033201,0.0575771,0
200000,Rana_sylvatica,Rana_septentrionalis,0,0.232272,-0.0328924,0.0681594,0
210000,Rana_sylvatica,Rana_septentrionalis,0,0.105705,-0.0139751,0.0155889,0
220000,Rana_sylvatica,Rana_septentrionalis,0,0.0479197,0.0444913,0.00152629,0
230000,Rana_sylvatica,Rana_septentrionalis,0,0.238383,-0.0418405,0.0589525,0
230000,Rana_sylvatica,NA,6.21237,0.0372947,0.0317159,0.279852,0
240000,Rana_sylvatica,Rana_septentrionalis,0,0.157439,-0.0307063,0.00874162,0
250000,Rana_sylvatica,Rana_septentrionalis,0,0.226158,-0.0471068,0.00335456,0
260000,Rana_sylvatica,Rana_septentrionalis,0,0.131421,-0.0282567,0.0097711,0
260000,Rana_grylio,NA,35.7694,0.124722,-0.0429422,0.111486,0
270000,Rana_sylvatica,Rana_septentrionalis,0,0.187741,-0.0340944,0.0489368,0
280000,Rana_sylvatica,Rana_septentrionalis,0,0.228844,-0.0485713,0.0118579,0
290000,Rana_sylvatica,Rana_septentrionalis,0,0.147449,-0.0366202,0.017109,0
300000,Rana_sylvatica,Rana_septentrionalis,0,0.331093,-0.0580587,0.0451392,0
310000,Rana_sylvatica,Rana_septentrionalis,0,0.194256,-0.0455498,0.00486573,0
320000,Rana_sylvatica,Rana_septentrionalis,0,0.144261,-0.0267215,0.0246774,0
330000,Rana_sylvatica,Rana_septentrionalis,0,0.0462649,0.0135401,0.00183711,0
