generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Rana_shuchinae,Rana_johnsi,0,0.032,0,0.005,0
10000,Rana_shuchinae,Rana_johnsi,0,0.142322,-0.0387404,0.00344004,0
10000,Rana_shuchinae,NA,30.4643,0.0226025,0.0458724,0.275907,0
20000,Rana_shuchinae,Rana_johnsi,0,0.330548,-0.0537887,0.0538644,0
30000,Rana_shuchinae,Rana_johnsi,0,0.360045,-0.0686357,0.0169947,0
40000,Rana_shuchinae,Rana_johnsi,0,0.12937,-0.0479933,0.00648663,0
50000,Rana_shuchinae,Rana_johnsi,0,0.376065,-0.0574702,0.0175074,0
50000,Rana_shuchinae,NA,4.04722,0.0795289,0.0261989,0.290149,0
60000,Rana_shuchinae,Rana_johnsi,0,0.119042,-0.0183383,0.00382246,0
70000,Rana_shuchinae,Rana_johnsi,0,0.175911,-0.0358766,0.0441364,0
80000,Rana_shuchinae,Rana_johnsi,0,0.333704,-0.0420048,0.0185215,0
80000,Rana_dalmatina,NA,33.587,0.256781,0.000540684,0.694407,0
90000,Rana_shuchinae,Rana_johnsi,0,0.115189,-0.0213458,0.026152,0
100000,Rana_shuchinae,Rana_johnsi,0,0.131395,-0.0286711,0.00518961,0
110000,Rana_shuchinae,Rana_johnsi,0,0.115134,-0.032236,0.0137397,0
120000,Rana_shuchinae,Rana_johnsi,0,0.223321,-0.0405458,0.0233048,0
120000,Rana_shuchinae,NA,33.2861,0.311706,0.0339308,0.0357227,0
120000,Rana_macrocnemis,NA,30.8939,0.110371,-0.0269284,0.594514,0
130000,Rana_shuchinae,Rana_johnsi,0,0.102711,-0.0149366,0.0284948,0
140000,Rana_shuchinae,Rana_johnsi,0,0.12872,-0.0308075,0.0184172,0
150000,Rana_shuchinae,Rana_johnsi,0,0.111662,-0.0307163,0.0232426,0
160000,Rana_shuchinae,Rana_johnsi,0,0.132683,-0.0295851,0.107336,0
160000,Rana_johnsi,Rana_macrocnemis,2.39549,0.443303,-0.0799054,0.00673003,0
170000,Rana_shuchinae,Rana_johnsi,0,0.107461,-0.0302702,0.00577903,0
180000,Rana_shuchinae,Rana_johnsi,0,0.249228,-0.0430565,0.00533802,0
180000,Rana_shuchinae,NA,30.7794,0.147312,0.0144245,0.66149,0
190000,Rana_shuchinae,Rana_johnsi,0,0.154645,-0.0281076,0.0224869,0
200000,Rana_shuchinae,Rana_johnsi,0,0.260761,-0.0450593,0.0327499,0
210000,Rana_shuchinae,Rana_johnsi,0,0.33853,-0.0676037,0.00241644,0
210000,Rana_shuchinae,NA,14.2324,0.127391,0.00537833,0.18316,0
210000,Rana_latastei,NA,35.8442,0.145261,-0.0266548,0.203905,0
210000,Rana_iberica,NA,35.6125,0.973702,0.0266713,0.320431,0
220000,Rana_shuchinae,Rana_johnsi,0,0.170637,-0.0425522,0.0102471,0
230000,Rana_shuchinae,Rana_johnsi,0,0.206561,-0.034604,0.036114,0
240000,Rana_shuchinae,Rana_johnsi,0,0.143655,-0.0318806,0.0124946,0
250000,Rana_shuchinae,Rana_johnsi,0,0.436867,-0.0540704,0.0087706,0
250000,Rana_shuchinae,NA,8.10928,0.103892,-0.0147469,0.230361,0
250000,Rana_coreana,NA,26.2313,0.0210869,-0.0310474,0.0172599,0
250000,Rana_pirica,NA,34.4626,0.0996029,0.00874942,0.388044,0
260000,Rana_shuchinae,Rana_johnsi,0,0.667639,-0.0740813,0.089672,0
