generation,leftchild,rightchild,abstime,betainit,betashift
0,Rana_weiningensis,Rana_shuchinae,0,0.5,0
10000,Rana_weiningensis,Rana_shuchinae,0,0.00510241,0
10000,Rana_luteiventris,Rana_boylii,23.6363,0.0740621,-0.00480331
10000,Rana_grylio,Rana_clamitans,34.53,0.0465324,0.0130398
10000,Rana_blairi,Rana_berlandieri,36.7135,0.0366714,-0.00816183
20000,Rana_weiningensis,Rana_shuchinae,0,0.0141973,-0.0232235
20000,Rana_weiningensis,NA,30.393,0.0604527,-0.00333222
20000,Rana_luteiventris,Rana_boylii,16.8979,0.105142,0.0153048
20000,Rana_sauteri,NA,40.7413,0.148644,0.0147637
20000,Rana_clamitans,Rana_heckscheri,37.3932,0.0658089,-0.00893293
20000,Rana_palustris,NA,38.2099,0.0561661,-0.035537
20000,Rana_berlandieri,Rana_neovolcanica,45.3609,0.208871,0.0579366
30000,Rana_weiningensis,Rana_shuchinae,0,0.00213815,0.0356384
30000,Rana_sierrae,NA,44.2701,0.131319,-0.0116077
30000,Rana_aurora,Rana_cascadae,37.2111,0.142413,0.0341391
30000,Rana_grylio,Rana_clamitans,33.9345,0.124735,-0.0020254
30000,Rana_spectabilis,Rana_sphenocephala,30.7524,0.0297717,-0.0313357
40000,Rana_weiningensis,Rana_shuchinae,0,0.00608068,-0.00602044
40000,Rana_aurora,Rana_cascadae,41.7218,0.096,0.0245904
40000,Rana_septentrionalis,Rana_grylio,22.674,0.0325744,-0.0114689
40000,Rana_juliani,NA,38.5096,0.241853,-0.0188329
40000,Rana_berlandieri,Rana_neovolcanica,43.805,0.0384075,-0.0202885
40000,Rana_omiltemana,NA,45.7464,0.166777,-0.0145087
50000,Rana_weiningensis,Rana_shuchinae,0,0.0094193,-0.0232235
50000,Rana_aurora,Rana_cascadae,37.6326,0.0831593,0.0441794
50000,Rana_sakuraii,NA,45.6406,0.0249731,0.00910225
50000,Rana_septentrionalis,NA,36.0541,0.163251,-0.0399442
50000,Rana_clamitans,Rana_okaloosae,39.3239,0.0609257,0.0141337
50000,Rana_iberica,NA,41.4013,0.116857,-0.00510979
50000,Rana_sphenocephala,Rana_blairi,34.5647,0.045737,0.0307719
60000,Rana_weiningensis,Rana_shuchinae,0,0.0102008,-0.0232235
60000,Rana_aurora,Rana_cascadae,35.7576,0.0605594,0.0441794
60000,Rana_luteiventris,Rana_boylii,23.1328,0.023196,-0.0256423
60000,Rana_clamitans,Rana_okaloosae,43.325,0.0680903,-0.00345087
60000,Rana_blairi,Rana_berlandieri,41.9357,0.0282814,-0.00576412
70000,Rana_weiningensis,Rana_shuchinae,0,0.00477263,0.0307026
70000,Rana_sierrae,Rana_aurora,30.2093,0.0995388,0.0178345
70000,Rana_clamitans,Rana_okaloosae,42.6947,0.045897,0.00272275
70000,Rana_catesbeiana,NA,44.8824,0.0139168,0.0321057
80000,Rana_weiningensis,Rana_shuchinae,0,0.00884124,-0.00602044
80000,Rana_sierrae,Rana_aurora,28.808,0.0676229,0.0178345
80000,Rana_clamitans,Rana_okaloosae,44.0349,0.187265,-0.027191
80000,Rana_macroglossa,NA,45.8505,0.00533122,-0.00324763
80000,Rana_berlandieri,Rana_neovolcanica,45.5662,0.0475015,-0.00537801
90000,Rana_weiningensis,Rana_shuchinae,0,0.00288475,0.00866646
90000,Rana_luteiventris,Rana_boylii,21.4203,0.0527429,0.032733
90000,Rana_kukunoris,NA,45.1411,0.0416531,-0.0280123
90000,Rana_chensinensis,NA,43.6796,0.0138384,-0.0496538
90000,Rana_macroglossa,NA,41.3886,0.0107025,0.0142365
90000,Rana_warszewitschii,Rana_vibicaria,26.8005,0.00155484,0.024871
90000,Rana_pirica,NA,43.6973,0.108198,-0.0443797
90000,Rana_septentrionalis,Rana_grylio,27.2646,0.0628798,-0.04551
90000,Rana_warszewitschii,Rana_vibicaria,25.8879,0.0331034,0.00994292
90000,Rana_blairi,Rana_berlandieri,41.8961,0.0773751,0.050939
100000,Rana_weiningensis,Rana_shuchinae,0,0.00519821,0.00355306
100000,Rana_weiningensis,NA,13.2995,0.0426364,-0.00368322
100000,Rana_aurora,Rana_cascadae,39.1458,0.100919,-0.0178845
100000,Rana_clamitans,Rana_okaloosae,44.1604,0.0593126,-0.00566443
100000,Rana_sphenocephala,Rana_blairi,33.5013,0.0300202,0.0159583
100000,Rana_omiltemana,NA,38.8931,0.0345608,-0.0258838
110000,Rana_weiningensis,Rana_shuchinae,0,0.003374,0.037105
110000,Rana_aurora,Rana_cascadae,37.4479,0.153002,-0.00949463
110000,Rana_sylvatica,NA,29.8123,0.00941492,0.0324266
110000,Rana_clamitans,Rana_heckscheri,37.1294,0.0305876,0.0187423
110000,Rana_blairi,Rana_berlandieri,37.273,0.0340306,0.00298756
120000,Rana_weiningensis,Rana_shuchinae,0,0.00345217,0.0222292
120000,Rana_boylii,NA,31.0746,0.0601993,0.00470068
120000,Rana_aurora,Rana_cascadae,35.8161,0.262283,-0.0157738
120000,Rana_sylvatica,NA,32.1077,0.064733,0.00995183
120000,Rana_sphenocephala,NA,41.6277,0.0022673,0.00738957
120000,Rana_septentrionalis,Rana_grylio,13.2905,0.0301509,0.0106879
120000,Rana_magnaocularis,NA,39.5335,0.0355433,-0.0137391
120000,Rana_pipiens,Rana_palustris,21.1323,0.0147428,-0.00901845
130000,Rana_weiningensis,Rana_shuchinae,0,0.00572552,0.0222292
130000,Rana_aurora,Rana_cascadae,35.9901,0.103623,-0.018029
140000,Rana_weiningensis,Rana_shuchinae,0,0.00273688,0.0050399
140000,Rana_aurora,Rana_cascadae,45.5342,0.142949,0.017987
140000,Rana_sauteri,NA,29.4945,0.000246037,-0.0360721
140000,Rana_septentrionalis,Rana_grylio,26.2857,0.0453462,-0.00833147
140000,Rana_blairi,NA,45.9501,0.0341072,-0.0154161
140000,Rana_blairi,Rana_berlandieri,38.3949,0.0384105,0.00721206
140000,Rana_weiningensis,NA,37.6531,0.10759,0.0225163
