generation,leftchild,rightchild,abstime,betainit,betashift
0,Rana_weiningensis,Rana_shuchinae,0,0.5,0
10000,Rana_weiningensis,Rana_shuchinae,0,0.0138867,-0.0360078
20000,Rana_weiningensis,Rana_shuchinae,0,0.0130089,-0.0360078
20000,Rana_chaochiaoensis,NA,43.0083,0.0010906,-0.0183129
30000,Rana_weiningensis,Rana_shuchinae,0,0.0225991,-0.045585
40000,Rana_weiningensis,Rana_shuchinae,0,0.00463589,-0.00854273
40000,Rana_weiningensis,NA,6.46244,0.0170172,-0.0245562
50000,Rana_weiningensis,Rana_shuchinae,0,0.0150699,-0.0419416
50000,Rana_huanrensis,Rana_chensinensis,42.3202,0.00178371,0.000565971
50000,Rana_macrocnemis,NA,35.9573,0.0124116,0.00383182
50000,Rana_dalmatina,NA,40.0368,0.0191522,-0.0438647
50000,Rana_temporaria,NA,44.7142,0.00801244,0.00563086
60000,Rana_weiningensis,Rana_shuchinae,0,0.00402901,-0.0115896
60000,Rana_latastei,NA,41.5039,0.00498813,-0.0287223
60000,Rana_tsushimensis,NA,41.8747,0.00212247,-0.00540635
70000,Rana_weiningensis,Rana_shuchinae,0,0.026739,0.036545
70000,Rana_weiningensis,NA,8.73878,0.00224604,-0.0100166
70000,Rana_shuchinae,Rana_johnsi,2.51193,0.00286731,0.018562
80000,Rana_weiningensis,Rana_shuchinae,0,0.00366262,-0.00971253
80000,Rana_weiningensis,NA,25.9826,0.000988706,-0.0358442
80000,Rana_pyrenaica,NA,44.5826,0.0138355,-0.0175093
90000,Rana_weiningensis,Rana_shuchinae,0,0.00486749,-0.00662627
100000,Rana_weiningensis,Rana_shuchinae,0,0.00604472,-0.011479
110000,Rana_weiningensis,Rana_shuchinae,0,0.0108738,-0.0216544
110000,Rana_shuchinae,NA,30.1544,0.0288573,-0.0170091
110000,Rana_amurensis,NA,36.5025,0.0105351,0.0148487
120000,Rana_weiningensis,Rana_shuchinae,0,0.00176342,-0.0395619
120000,Rana_shuchinae,NA,41.1133,0.00430167,-0.00853761
120000,Rana_temporaria,NA,36.955,0.0294074,0.00829662
120000,Rana_arvalis,Rana_temporaria,33.7931,0.00988927,0.0211615
120000,Rana_japonica,NA,44.1048,0.00433194,-0.0400588
120000,Rana_omeimontis,Rana_hanluica,39.9421,0.000302213,0.0583577
120000,Rana_shuchinae,Rana_johnsi,3.18667,0.00157719,0.0153183
130000,Rana_weiningensis,Rana_shuchinae,0,0.0252594,-0.0438284
130000,Rana_arvalis,NA,40.9552,0.0103387,0.00153434
140000,Rana_weiningensis,Rana_shuchinae,0,0.00196717,0.0201712
140000,Rana_weiningensis,NA,34.7454,0.0016279,-0.0198864
140000,Rana_sauteri,NA,44.4267,0.00384873,0.0204228
140000,Rana_ornativentris,NA,38.182,0.0253922,0.0304763
150000,Rana_weiningensis,Rana_shuchinae,0,0.0033055,-0.00573703
150000,Rana_temporaria,Rana_pyrenaica,36.2067,0.0376652,0.0254924
150000,Rana_huanrensis,NA,44.0345,0.00708687,0.0261894
160000,Rana_weiningensis,Rana_shuchinae,0,0.00427286,-0.00573703
160000,Rana_pirica,NA,38.3697,0.00987454,-0.0120284
170000,Rana_weiningensis,Rana_shuchinae,0,0.00246001,0.0158668
180000,Rana_weiningensis,Rana_shuchinae,0,0.034762,0.0132178
180000,Rana_weiningensis,NA,45.129,0.0398689,-0.00537046
180000,Rana_shuchinae,Rana_johnsi,0.146217,0.00338705,-0.00281852
190000,Rana_weiningensis,Rana_shuchinae,0,0.00349016,-0.00500415
190000,Rana_amurensis,Rana_coreana,30.3364,0.00736923,0.0213097
200000,Rana_weiningensis,Rana_shuchinae,0,0.00402572,-0.00951111
210000,Rana_weiningensis,Rana_shuchinae,0,0.00576841,-0.0116923
220000,Rana_weiningensis,Rana_shuchinae,0,0.00228425,0.00778385
230000,Rana_weiningensis,Rana_shuchinae,0,0.00161389,0.0326318
240000,Rana_weiningensis,Rana_shuchinae,0,0.00331926,-0.00109916
250000,Rana_weiningensis,Rana_shuchinae,0,0.00446563,-0.0191624
260000,Rana_weiningensis,Rana_shuchinae,0,0.00323887,-0.0122923
260000,Rana_temporaria,NA,43.0696,0.0278732,0.00659542
260000,Rana_omeimontis,Rana_hanluica,39.0086,0.0200128,-0.00180083
270000,Rana_weiningensis,Rana_shuchinae,0,0.00153208,0.0389999
280000,Rana_weiningensis,Rana_shuchinae,0,0.00568047,-0.00645659
280000,Rana_johnsi,Rana_zhengi,26.8782,0.00240123,-0.00381296
290000,Rana_weiningensis,Rana_shuchinae,0,0.0011797,0.0208719
290000,Rana_shuchinae,NA,19.5888,0.021293,0.0393947
290000,Rana_shuchinae,NA,44.4772,0.00373185,-0.0240464
290000,Rana_iberica,NA,41.4123,0.00810629,-0.00218957
290000,Rana_temporaria,Rana_pyrenaica,35.6431,0.0641452,0.00250244
290000,Rana_dybowskii,Rana_ornativentris,32.0071,0.00261074,0.0278812
290000,Rana_hanluica,NA,41.0206,0.0156417,-0.0125722
300000,Rana_weiningensis,Rana_shuchinae,0,0.00145309,0.0285333
310000,Rana_weiningensis,Rana_shuchinae,0,0.00357701,-0.00403148
