generation,leftchild,rightchild,abstime,betainit,betashift
0,Rana_shuchinae,Rana_septentrionalis,0,0.5,0
10000,Rana_shuchinae,Rana_septentrionalis,0,0.00125378,-0.00262686
20000,Rana_shuchinae,Rana_septentrionalis,0,0.00541968,-0.0225506
30000,Rana_shuchinae,Rana_septentrionalis,0,0.0025165,-0.0163918
30000,Rana_shuchinae,NA,14.2254,0.00224394,7.31054e-005
40000,Rana_shuchinae,Rana_septentrionalis,0,0.00134745,-0.00535567
40000,Rana_pipiens,Rana_palustris,21.4664,0.00174785,0.00701288
50000,Rana_shuchinae,Rana_septentrionalis,0,0.00156317,-0.00872319
60000,Rana_shuchinae,Rana_septentrionalis,0,0.0011748,0.015949
60000,Rana_pirica,NA,34.3278,0.0226547,-0.0398736
70000,Rana_shuchinae,Rana_septentrionalis,0,0.00201018,-0.0139511
80000,Rana_shuchinae,Rana_septentrionalis,0,0.00123341,0.0120581
80000,Rana_pirica,NA,38.2999,0.00408256,0.0513452
90000,Rana_shuchinae,Rana_septentrionalis,0,0.00158839,0.0135612
90000,Rana_sauteri,NA,39.9483,1.02187e-005,0.00842346
90000,Rana_palustris,NA,40.8763,0.00717126,0.0619737
100000,Rana_shuchinae,Rana_septentrionalis,0,0.000989981,0.00609436
110000,Rana_shuchinae,Rana_septentrionalis,0,0.000918809,0.00806073
120000,Rana_shuchinae,Rana_septentrionalis,0,0.000981843,0.025525
120000,Rana_pipiens,Rana_palustris,16.4198,0.00279999,0.0524252
130000,Rana_shuchinae,Rana_septentrionalis,0,0.00147649,0.000781323
130000,Rana_johnsi,Rana_zhengi,19.5846,0.0041495,-0.0244597
130000,Rana_johnsi,Rana_zhengi,24.9562,0.000124034,0.00248292
130000,Rana_omeimontis,NA,25.8743,0.00788121,-0.0292209
140000,Rana_shuchinae,Rana_septentrionalis,0,0.000885494,0.0137689
150000,Rana_shuchinae,Rana_septentrionalis,0,0.00195086,0.0100279
150000,Rana_arvalis,NA,37.9083,0.00412484,-0.00112398
150000,Rana_septentrionalis,NA,41.2088,0.00800808,-0.0209751
150000,Rana_vaillanti,Rana_bwana,21.0549,0.00295421,-0.0457639
160000,Rana_shuchinae,Rana_septentrionalis,0,0.0106102,-0.0479595
170000,Rana_shuchinae,Rana_septentrionalis,0,0.00385354,-0.0286201
180000,Rana_shuchinae,Rana_septentrionalis,0,0.00189954,-0.00996293
190000,Rana_shuchinae,Rana_septentrionalis,0,0.00570182,-0.0401964
200000,Rana_shuchinae,Rana_septentrionalis,0,0.00170964,-0.00802899
200000,Rana_johnsi,Rana_zhengi,14.752,0.00194113,0.020845
200000,Rana_tagoi,Rana_sakuraii,28.6459,0.00337878,0.0162534
200000,Rana_sierramadrensis,NA,13.3126,0.00513383,0.0543737
210000,Rana_shuchinae,Rana_septentrionalis,0,0.00435001,-0.0335775
210000,Rana_catesbeiana,NA,36.4228,0.00195672,0.00974444
210000,Rana_juliani,NA,42.4662,0.00663939,-0.0271611
220000,Rana_shuchinae,Rana_septentrionalis,0,0.00328334,-0.0260104
230000,Rana_shuchinae,Rana_septentrionalis,0,0.00112815,-0.00578
230000,Rana_omeimontis,NA,33.3487,0.00786412,0.00764382
