generation,leftchild,rightchild,abstime,betainit,betashift
0,Rana_shuchinae,Rana_okaloosae,0,0.339426,0
10000,Rana_shuchinae,Rana_okaloosae,0,0.0011848,0.0130007
20000,Rana_shuchinae,Rana_okaloosae,0,0.0025662,-0.0379728
20000,Rana_sierramadrensis,NA,30.8936,0.00656187,-0.0253271
20000,Rana_pipiens,NA,42.031,0.0106467,0.0246867
20000,Rana_pipiens,Rana_palustris,13.6867,0.00475175,0.0273589
30000,Rana_shuchinae,Rana_okaloosae,0,0.0140818,-0.0689989
30000,Rana_pipiens,Rana_palustris,19.8438,0.00256174,0.00141997
40000,Rana_shuchinae,Rana_okaloosae,0,0.000753495,0.0195379
50000,Rana_shuchinae,Rana_okaloosae,0,0.00632763,-0.0405847
50000,Rana_huanrensis,Rana_chensinensis,38.4621,0.0211765,-0.0644923
50000,Rana_amurensis,NA,36.0141,0.0157452,-0.00820046
50000,Rana_juliani,NA,40.4259,0.0149518,0.00051294
60000,Rana_shuchinae,Rana_okaloosae,0,0.0120133,-0.0467765
70000,Rana_shuchinae,Rana_okaloosae,0,0.00930504,-0.0551597
80000,Rana_shuchinae,Rana_okaloosae,0,0.00614953,-0.0310799
80000,Rana_palustris,Rana_sevosa,29.8204,0.0053363,0.00636481
90000,Rana_shuchinae,Rana_okaloosae,0,0.00265479,-0.0359779
90000,Rana_vaillanti,Rana_bwana,20.4226,0.00112865,0.00851436
90000,Rana_pipiens,Rana_chiricahuensis,23.8387,0.00517385,0.050145
100000,Rana_shuchinae,Rana_okaloosae,0,0.00165363,-0.00443778
110000,Rana_shuchinae,Rana_okaloosae,0,0.00138432,0.0596394
120000,Rana_shuchinae,Rana_okaloosae,0,0.0018144,-0.0069438
130000,Rana_shuchinae,Rana_okaloosae,0,0.00109421,0.0158844
130000,Rana_sierramadrensis,NA,38.0252,0.00013822,0.0403317
140000,Rana_shuchinae,Rana_okaloosae,0,0.00163728,0.0200558
140000,Rana_okaloosae,NA,39.7757,0.00913037,0.0280903
150000,Rana_shuchinae,Rana_okaloosae,0,0.000924015,0.0204906
150000,Rana_vaillanti,NA,36.3029,0.00116628,0.0188936
160000,Rana_shuchinae,Rana_okaloosae,0,0.00452076,-0.0483069
160000,Rana_shuchinae,NA,9.17429,0.00448961,0.0475445
160000,Rana_sauteri,NA,34.7002,0.00185255,-0.0241589
160000,Rana_pipiens,Rana_palustris,19.0638,0.00851626,0.00702249
170000,Rana_shuchinae,Rana_okaloosae,0,0.00224122,-0.00300694
170000,Rana_johnsi,Rana_zhengi,37.9689,0.000388108,0.0100459
170000,Rana_ornativentris,NA,33.5876,0.000928117,0.0131081
170000,Rana_huanrensis,NA,39.9475,0.0068525,-0.0248765
180000,Rana_shuchinae,Rana_okaloosae,0,0.00920373,-0.0473656
190000,Rana_shuchinae,Rana_okaloosae,0,0.00168198,-0.00605886
190000,Rana_tagoi,NA,41.5661,0.013675,-0.0118036
190000,Rana_vibicaria,NA,29.8251,0.0016489,0.0654777
200000,Rana_shuchinae,Rana_okaloosae,0,0.00276,-0.00400961
210000,Rana_shuchinae,Rana_okaloosae,0,0.00138732,0.0026853
220000,Rana_shuchinae,Rana_okaloosae,0,0.00382474,-0.0407744
230000,Rana_shuchinae,Rana_okaloosae,0,0.00135758,0.01054
240000,Rana_shuchinae,Rana_okaloosae,0,0.0014156,-0.00196453
250000,Rana_shuchinae,Rana_okaloosae,0,0.00331104,0.00725374
250000,Rana_johnsi,Rana_macrocnemis,12.2678,0.00051118,0.0153561
250000,Rana_palustris,NA,39.0355,0.0175783,-0.0257199
260000,Rana_shuchinae,Rana_okaloosae,0,0.00104153,0.00725374
260000,Rana_palustris,NA,31.8309,0.00404601,-0.0205499
270000,Rana_shuchinae,Rana_okaloosae,0,0.000659735,0.0293577
270000,Rana_sevosa,NA,38.7698,0.0081605,0.0282119
280000,Rana_shuchinae,Rana_okaloosae,0,0.00727332,-0.0414199
290000,Rana_shuchinae,Rana_okaloosae,0,0.00260463,-0.00362508
300000,Rana_shuchinae,Rana_okaloosae,0,0.0178405,-0.0502356
310000,Rana_shuchinae,Rana_okaloosae,0,0.0019433,-0.00140977
310000,Rana_johnsi,Rana_zhengi,38.2592,0.000322132,-0.0319838
310000,Rana_macrocnemis,NA,30.1212,0.000787491,0.000692654
310000,Rana_sierramadrensis,NA,35.0715,0.00223624,0.0114121
320000,Rana_shuchinae,Rana_okaloosae,0,0.00516512,-0.024854
330000,Rana_shuchinae,Rana_okaloosae,0,0.00148276,-0.0095357
340000,Rana_shuchinae,Rana_okaloosae,0,0.00538319,-0.0282825
340000,Rana_omeimontis,Rana_longicrus,25.7743,0.00361871,0.016201
340000,Rana_warszewitschii,NA,38.1157,0.0311496,-0.024901
340000,Rana_tarahumarae,NA,33.104,0.00819578,-0.00277456
350000,Rana_shuchinae,Rana_okaloosae,0,0.00432003,-0.0367752
350000,Rana_vaillanti,Rana_bwana,26.6422,0.000920017,-0.0188953
350000,Rana_warszewitschii,Rana_sierramadrensis,10.9257,0.00184766,0.0261535
360000,Rana_shuchinae,Rana_okaloosae,0,0.00188219,-0.00883806
370000,Rana_shuchinae,Rana_okaloosae,0,0.00333559,-0.0175259
380000,Rana_shuchinae,Rana_okaloosae,0,0.00115314,0.0263566
390000,Rana_shuchinae,Rana_okaloosae,0,0.0026742,-0.0137497
400000,Rana_shuchinae,Rana_okaloosae,0,0.00206912,-0.00529686
400000,Rana_kukunoris,Rana_huanrensis,34.4795,0.0126371,0.00427107
400000,Rana_palmipes,NA,39.5247,0.00198712,-0.0240988
410000,Rana_shuchinae,Rana_okaloosae,0,0.00340266,-0.0241796
420000,Rana_shuchinae,Rana_okaloosae,0,0.00547498,-0.0369159
430000,Rana_shuchinae,Rana_okaloosae,0,0.0017339,-0.0344914
430000,Rana_okaloosae,Rana_warszewitschii,2.46114,0.00719062,-0.0149085
440000,Rana_shuchinae,Rana_okaloosae,0,0.00207551,0.00138769
450000,Rana_shuchinae,Rana_okaloosae,0,0.00114571,0.00469468
460000,Rana_shuchinae,Rana_okaloosae,0,0.00158347,0.0413101
460000,Rana_omeimontis,NA,40.7943,0.0127126,-0.0187539
470000,Rana_shuchinae,Rana_okaloosae,0,0.000930256,0.0062768
470000,Rana_pipiens,Rana_chiricahuensis,29.4557,0.00438209,-0.0251263
470000,Rana_sevosa,NA,35.7787,0.0218384,0.026581
480000,Rana_shuchinae,Rana_okaloosae,0,0.00126504,0.00500572
480000,Rana_dybowskii,NA,37.0637,0.00591546,-0.0491397
490000,Rana_shuchinae,Rana_okaloosae,0,0.00100445,0.0211955
500000,Rana_shuchinae,Rana_okaloosae,0,0.00129217,0.00676063
500000,Rana_okaloosae,NA,35.7623,0.00880446,0.0111691
500000,Rana_tarahumarae,NA,29.8379,0.00619252,-0.0264618
510000,Rana_shuchinae,Rana_okaloosae,0,0.0019124,-0.00366333
520000,Rana_shuchinae,Rana_okaloosae,0,0.00130009,0.019058
530000,Rana_shuchinae,Rana_okaloosae,0,0.000264286,-0.00649141
530000,Rana_shuchinae,NA,34.3817,0.00625889,0.00173584
530000,Rana_huanrensis,NA,41.6204,0.0133478,-0.00441742
530000,Rana_omeimontis,Rana_longicrus,29.2285,0.00380385,0.0130764
530000,Rana_okaloosae,NA,8.2869,0.000521312,0.00339976
530000,Rana_bwana,Rana_palmipes,32.519,0.000422938,-0.0115186
530000,Rana_palustris,Rana_sevosa,27.4307,0.00795304,-0.0364383
530000,Rana_warszewitschii,Rana_sierramadrensis,8.88542,0.00236584,0.0135493
540000,Rana_shuchinae,Rana_okaloosae,0,0.00129827,0.0183063
540000,Rana_okaloosae,NA,33.5946,0.00138216,-0.0146672
540000,Rana_palmipes,NA,35.642,0.00791614,0.00475697
540000,Rana_chiricahuensis,Rana_dunni,32.9286,0.00392186,-0.0330562
540000,Rana_pipiens,Rana_chiricahuensis,30.078,0.0056914,-0.0206114
540000,Rana_magnaocularis,NA,36.2246,0.00289726,-0.00874566
550000,Rana_shuchinae,Rana_okaloosae,0,0.00165504,-0.000151308
560000,Rana_shuchinae,Rana_okaloosae,0,0.0021156,-0.00247926
570000,Rana_shuchinae,Rana_okaloosae,0,0.00138028,0.0169063
580000,Rana_shuchinae,Rana_okaloosae,0,0.00335808,-0.00283136
580000,Rana_shuchinae,NA,35.1814,0.00493017,-0.0286625
580000,Rana_temporaria,NA,42.4162,0.00366351,-0.00546894
580000,Rana_macrocnemis,Rana_sauteri,16.8753,0.000934964,-0.00416931
590000,Rana_shuchinae,Rana_okaloosae,0,0.00181905,-0.00385022
600000,Rana_shuchinae,Rana_okaloosae,0,0.00109731,-0.0241685
600000,Rana_okaloosae,Rana_warszewitschii,2.08487,0.00374081,-0.0149778
610000,Rana_shuchinae,Rana_okaloosae,0,0.00285342,-0.0134722
620000,Rana_shuchinae,Rana_okaloosae,0,0.00369561,-0.019032
620000,Rana_vaillanti,Rana_bwana,19.628,0.000146578,-0.000117728
630000,Rana_shuchinae,Rana_okaloosae,0,0.00249634,-0.00962296
640000,Rana_shuchinae,Rana_okaloosae,0,0.00315588,-0.00326233
650000,Rana_shuchinae,Rana_okaloosae,0,0.00109977,0.02909
660000,Rana_shuchinae,Rana_okaloosae,0,0.00178558,0.000933765
670000,Rana_shuchinae,Rana_okaloosae,0,0.00109255,0.0371683
670000,Rana_omeimontis,NA,40.1228,0.00208818,0.034136
680000,Rana_shuchinae,Rana_okaloosae,0,0.000768288,0.0265428
690000,Rana_shuchinae,Rana_okaloosae,0,0.00175495,-0.000935432
700000,Rana_shuchinae,Rana_okaloosae,0,0.00121566,0.0343021
700000,Rana_tarahumarae,NA,24.999,0.00268682,-0.02761
710000,Rana_shuchinae,Rana_okaloosae,0,0.00091924,0.0133571
720000,Rana_shuchinae,Rana_okaloosae,0,0.00262936,-0.00912627
730000,Rana_shuchinae,Rana_okaloosae,0,0.00263302,-0.00912627
740000,Rana_shuchinae,Rana_okaloosae,0,0.00103936,0.065774
750000,Rana_shuchinae,Rana_okaloosae,0,0.000664399,0.0486755
750000,Rana_pipiens,Rana_chiricahuensis,28.7736,0.00984379,-0.0335145
760000,Rana_shuchinae,Rana_okaloosae,0,0.00119583,0.0241947
