generation,leftchild,rightchild,abstime,betainit,betashift
0,Rana_shuchinae,Rana_septentrionalis,0,0.5,0
10000,Rana_shuchinae,Rana_septentrionalis,0,0.000902066,0.0184707
10000,Rana_omeimontis,Rana_longicrus,31.4609,0.00186397,0.00476186
10000,Rana_vibicaria,Rana_vaillanti,14.6255,0.00137641,0.0183081
10000,Rana_sphenocephala,Rana_magnaocularis,29.0988,0.000555533,0.0364985
10000,Rana_yavapaiensis,NA,39.3674,0.00281498,-0.0155478
20000,Rana_shuchinae,Rana_septentrionalis,0,0.00122766,-0.00335064
20000,Rana_magnaocularis,NA,33.2983,0.00169752,-0.0372392
30000,Rana_shuchinae,Rana_septentrionalis,0,0.0022382,-0.0115368
40000,Rana_shuchinae,Rana_septentrionalis,0,0.00136511,-0.00699663
40000,Rana_sphenocephala,NA,39.8126,0.0177323,0.0194117
50000,Rana_shuchinae,Rana_septentrionalis,0,0.00202445,0.00159103
60000,Rana_shuchinae,Rana_septentrionalis,0,0.00132537,0.00159103
60000,Rana_macrocnemis,NA,33.376,0.00043212,-0.00323584
70000,Rana_shuchinae,Rana_septentrionalis,0,0.0027375,-0.0263952
80000,Rana_shuchinae,Rana_septentrionalis,0,0.00219328,-0.0185302
80000,Rana_shuchinae,NA,14.2127,0.00727744,-0.0143286
80000,Rana_johnsi,Rana_zhengi,28.4813,0.00475906,-0.0297641
80000,Rana_magnaocularis,NA,42.6257,0.00610089,-0.0109539
90000,Rana_shuchinae,Rana_septentrionalis,0,0.0020236,-0.0177548
90000,Rana_arvalis,NA,27.4048,0.00298637,-0.0215113
90000,Rana_juliani,NA,40.2853,0.0196853,-0.0259623
90000,Rana_sierramadrensis,NA,25.061,0.014826,-0.0146846
100000,Rana_shuchinae,Rana_septentrionalis,0,0.000991929,0.00974229
100000,Rana_sauteri,NA,28.1459,0.0027571,-0.0348433
100000,Rana_sevosa,NA,34.8065,0.0124844,0.0621228
110000,Rana_shuchinae,Rana_septentrionalis,0,0.00202431,-0.0186081
120000,Rana_shuchinae,Rana_septentrionalis,0,0.00168053,-0.015669
130000,Rana_shuchinae,Rana_septentrionalis,0,0.00240362,-0.0167259
140000,Rana_shuchinae,Rana_septentrionalis,0,0.00252358,-0.0135667
140000,Rana_sauteri,NA,38.8605,0.000784052,0.00516852
140000,Rana_vaillanti,Rana_bwana,26.6913,0.00154188,-0.0299004
140000,Rana_yavapaiensis,NA,39.6554,0.000256089,0.0194625
150000,Rana_shuchinae,Rana_septentrionalis,0,0.00183891,-0.0137222
150000,Rana_catesbeiana,NA,38.8104,0.00739992,0.025147
150000,Rana_omeimontis,Rana_longicrus,24.7146,0.0024212,0.00530437
160000,Rana_shuchinae,Rana_septentrionalis,0,0.0069909,-0.0317275
170000,Rana_shuchinae,Rana_septentrionalis,0,0.00260092,-0.0137222
180000,Rana_shuchinae,Rana_septentrionalis,0,0.000688247,0.0448007
190000,Rana_shuchinae,Rana_septentrionalis,0,0.00260106,-0.0213458
190000,Rana_tagoi,NA,36.6914,0.0045828,-0.0212197
190000,Rana_clamitans,NA,41.5684,0.0199919,0.0252657
190000,Rana_vaillanti,NA,32.3542,0.00155571,-0.00189419
190000,Rana_yavapaiensis,NA,34.7752,0.00168063,-0.0112191
200000,Rana_shuchinae,Rana_septentrionalis,0,0.000855095,0.0348393
200000,Rana_sauteri,Rana_tagoi,21.332,0.00199431,-0.00190069
200000,Rana_omeimontis,NA,40.1665,0.0269454,-0.00998043
200000,Rana_vaillanti,Rana_juliani,30.9798,0.000631291,-0.0171237
200000,Rana_montezumae,Rana_dunni,36.6547,0.00157667,0.03222
200000,Rana_sphenocephala,NA,38.4441,0.00020278,-0.0644771
210000,Rana_shuchinae,Rana_septentrionalis,0,0.00184955,-0.00856898
220000,Rana_shuchinae,Rana_septentrionalis,0,0.00119439,-0.00885667
220000,Rana_shuchinae,NA,23.2413,0.00816212,0.00197857
230000,Rana_shuchinae,Rana_septentrionalis,0,0.00201063,-0.0169404
240000,Rana_shuchinae,Rana_septentrionalis,0,0.0018781,-0.0131626
250000,Rana_shuchinae,Rana_septentrionalis,0,0.00164863,-0.011073
250000,Rana_johnsi,Rana_zhengi,34.5192,0.0155965,2.13773e-006
250000,Rana_sakuraii,NA,41.3823,4.07131e-006,0.024692
250000,Rana_omeimontis,Rana_longicrus,28.9894,0.00738441,-0.0425807
250000,Rana_sierramadrensis,NA,34.9195,0.00648703,0.0846257
260000,Rana_shuchinae,Rana_septentrionalis,0,0.00602117,-0.0324485
270000,Rana_shuchinae,Rana_septentrionalis,0,0.00202004,-0.0210508
280000,Rana_shuchinae,Rana_septentrionalis,0,0.00747673,-0.0549949
280000,Rana_johnsi,Rana_zhengi,25.6969,0.00995816,-0.00667371
280000,Rana_dybowskii,NA,41.8081,0.000292043,-0.0220364
280000,Rana_ornativentris,NA,34.9599,0.00184133,-0.0334957
280000,Rana_pipiens,NA,39.2221,0.00346094,0.0289069
290000,Rana_shuchinae,Rana_septentrionalis,0,0.00425129,-0.0473739
290000,Rana_chensinensis,NA,39.8829,0.00340008,0.0306697
290000,Rana_septentrionalis,Rana_grylio,27.3537,0.00205879,-0.0308647
300000,Rana_shuchinae,Rana_septentrionalis,0,0.00249134,-0.0232676
310000,Rana_shuchinae,Rana_septentrionalis,0,0.00184869,-0.0154329
310000,Rana_dybowskii,NA,33.0142,0.00316394,-0.00606365
320000,Rana_shuchinae,Rana_septentrionalis,0,0.00274832,-0.0153946
330000,Rana_shuchinae,Rana_septentrionalis,0,0.00344646,-0.0225191
340000,Rana_shuchinae,Rana_septentrionalis,0,0.00325896,-0.0291147
350000,Rana_shuchinae,Rana_septentrionalis,0,0.0043623,-0.0417451
350000,Rana_septentrionalis,Rana_grylio,18.6112,0.000920095,0.0129242
360000,Rana_shuchinae,Rana_septentrionalis,0,0.00444652,-0.0367581
370000,Rana_shuchinae,Rana_septentrionalis,0,0.0049347,-0.02953
380000,Rana_shuchinae,Rana_septentrionalis,0,0.00427329,-0.0355607
390000,Rana_shuchinae,Rana_septentrionalis,0,0.00186638,-0.0158993
400000,Rana_shuchinae,Rana_septentrionalis,0,0.00242489,-0.0122892
410000,Rana_shuchinae,Rana_septentrionalis,0,0.00268079,-0.017788
410000,Rana_sakuraii,NA,38.2513,0.0104117,-0.0184924
420000,Rana_shuchinae,Rana_septentrionalis,0,0.00412658,-0.0233305
