generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.44642,-139.137,1,0
10000,0,1.31504,-130.426,0.542883,0.388961
20000,0,0.0350702,-132.056,0.240183,0.37625
30000,0,1.03316,-131.367,0.203179,0.3826
40000,0,1.7636,-130.209,1.37419,0.38604
50000,0,2.89151,-130.838,0.312693,0.3805
60000,0,1.37313,-129.845,1.09004,0.381794
70000,0,1.97445,-131.213,0.16224,0.3842
80000,0,2.17169,-130.907,0.548812,0.3838
90000,1,5.17088,-131.367,0.76198,0.3735
100000,0,1.23723,-131.338,0.274511,0.3571
110000,1,3.66017,-127.763,0.220435,0.3502
120000,0,1.76304,-132.756,0.049162,0.37715
130000,0,2.87466,-130.933,0.0331872,0.39335
140000,0,1.72094,-130.759,0.15364,0.356
150000,2,4.49567,-130.73,1.76123,0.36815
160000,0,1.87904,-131.561,0.294795,0.3646
170000,0,1.91025,-130.413,0.168955,0.37164
180000,0,2.65336,-130.749,0.0874006,0.3591
190000,0,2.25181,-132.943,0.47425,0.3689
200000,0,1.87519,-131.141,0.0421535,0.365857
210000,0,1.31568,-130.802,1.04293,0.37105
220000,1,3.56518,-127.371,0.551941,0.3853
230000,0,2.61246,-133.292,0.717893,0.3872
240000,0,1.18704,-131.126,0.783296,0.3759
250000,0,0.87462,-130.455,0.678663,0.3358
260000,0,2.17712,-130.073,0.554185,0.359833
270000,0,2.04925,-129.922,0.138968,0.3364
280000,0,2.44466,-130.233,0.36263,0.36483
290000,0,2.56897,-131.829,0.015598,0.3462
300000,0,1.07287,-130.955,0.00382717,0.4046
310000,0,2.09259,-131.198,0.297316,0.3578
320000,0,1.98999,-131.486,0.358292,0.379475
330000,0,2.26874,-129.93,0.562306,0.365183
340000,0,2.20313,-130.891,0.344436,0.3497
350000,1,4.45927,-131.082,1.68172,0.3645
360000,0,1.21707,-131.74,0.601285,0.36025
370000,0,1.37968,-131.556,1.58127,0.370125
380000,0,1.60237,-130.457,0.754954,0.369783
390000,0,0.967287,-131.611,0.121319,0.4117
400000,0,2.00357,-130.364,0.248659,0.374933
410000,0,1.89418,-130.752,0.149508,0.4016
420000,0,0.876483,-130.292,0.906957,0.3724
430000,0,1.32742,-131.204,0.109198,0.3687
440000,1,-0.160424,-127.8,1.13979,0.3483
450000,0,1.28267,-131.929,0.531477,0.353633
460000,1,0.886079,-134.08,0.46246,0.364914
470000,0,2.01614,-132.943,0.329278,0.372733
480000,0,1.59531,-130.277,0.602366,0.3571
490000,0,2.77118,-130.795,0.187764,0.373
500000,0,1.78271,-130.868,0.0551922,0.3645
510000,1,4.75209,-131.084,0.131899,0.35865
520000,1,3.38065,-131.95,0.286735,0.4076
530000,0,0.700708,-131.703,0.0653349,0.365511
540000,0,1.98565,-130.143,0.172781,0.369233
550000,0,2.68633,-132.306,0.647608,0.3785
560000,0,2.69222,-130.44,0.18744,0.380275
570000,0,1.53704,-130.937,0.709233,0.368567
580000,0,0.581628,-132.546,1.57216,0.3904
590000,0,2.18113,-130.251,0.0409059,0.384467
600000,1,1.46259,-129.353,1.20238,0.3981
610000,0,2.19109,-132.111,1.15642,0.375182
620000,1,0.497788,-129.522,0.0659195,0.395971
630000,0,2.58826,-130.392,0.096714,0.4303
640000,0,0.639937,-129.92,1.41992,0.41535
650000,2,4.68428,-129.363,0.98036,0.407875
660000,0,2.47681,-129.904,0.34091,0.401867
670000,0,1.79496,-131.194,0.319332,0.379267
680000,0,1.49534,-129.761,1.03286,0.3483
690000,0,1.3951,-130.683,1.22119,0.389364
700000,1,5.48195,-131.525,0.51032,0.3848
710000,0,2.35776,-134.171,0.0173602,0.379467
720000,0,2.97711,-131.099,0.214579,0.37948
730000,0,1.89983,-135.364,0.0711527,0.374867
740000,0,2.1723,-130.289,0.23065,0.3946
750000,0,1.76062,-133.224,0.671281,0.374967
760000,0,1.67808,-130.402,0.123898,0.37886
770000,0,2.50696,-130.253,0.131547,0.367033
780000,0,1.09551,-129.8,1.67941,0.398
790000,0,1.79377,-130.319,0.891813,0.369843
800000,1,3.3521,-127.981,0.331262,0.374275
810000,0,1.98891,-133.167,1.06328,0.39935
820000,0,2.48895,-132.891,0.411525,0.383614
830000,0,2.24201,-133.479,0.730582,0.3916
840000,0,1.03503,-131.266,0.794275,0.363425
850000,0,2.67332,-130.757,0.26514,0.377286
860000,0,2.97917,-131.029,0.215979,0.3699
870000,0,-0.256392,-131.272,3.25566,0.369825
880000,0,1.82001,-130.969,0.492035,0.3327
890000,1,5.21328,-131.009,0.777371,0.4034
900000,0,2.27253,-129.89,0.260516,0.40935
910000,0,0.825546,-129.755,1.74847,0.4024
920000,1,4.58128,-130.375,0.880875,0.374291
930000,1,3.92241,-130.75,0.261812,0.36775
940000,0,1.76738,-130.325,0.0608246,0.3958
950000,0,0.709498,-132.575,0.882888,0.38456
960000,1,3.49718,-127.482,0.987411,0.374008
970000,0,2.04677,-131.344,0.0805084,0.3708
980000,1,-0.812029,-130.921,2.29868,0.353133
990000,0,1.84854,-130.657,0.712326,0.363933
1000000,0,2.39455,-130.298,0.113417,0.3496
1010000,1,1.31861,-129.033,0.332624,0.391925
1020000,0,2.01032,-129.918,0.431247,0.3612
1030000,0,2.71499,-130.486,0.128711,0.3656
1040000,1,4.92283,-130.765,0.798188,0.38369
1050000,0,2.89342,-131.833,0.0803083,0.3814
1060000,3,7.94401,-129.214,2.38703,0.3692
1070000,0,1.3621,-134.955,0.641046,0.3809
1080000,0,1.76849,-131.815,0.417204,0.37556
1090000,0,0.76893,-130.862,1.05083,0.4235
1100000,0,1.01059,-130.887,1.61079,0.370133
1110000,0,1.37276,-130.154,1.13646,0.36495
1120000,0,1.72359,-130.511,0.189219,0.3869
1130000,0,1.40512,-129.773,0.913138,0.381563
1140000,0,3.14485,-130.685,0.00379737,0.3684
1150000,0,1.26967,-133.384,0.172802,0.376775
1160000,1,2.86591,-130.794,1.39203,0.375917
1170000,0,2.05799,-130.416,0.140111,0.3774
1180000,0,1.74132,-130.858,1.24988,0.37322
1190000,0,2.65222,-130.665,0.0275576,0.3632
1200000,0,1.57869,-130.546,0.0301769,0.3843
1210000,1,2.69792,-132.092,0.469881,0.386
1220000,0,2.46897,-130.986,0.0583696,0.370083
1230000,0,2.21807,-129.924,0.457206,0.368333
1240000,0,1.65701,-130.973,0.347294,0.355733
1250000,0,2.15224,-130.697,0.715543,0.36795
1260000,0,2.31177,-130.691,0.229928,0.3625
1270000,1,3.81369,-127.833,0.268383,0.37144
1280000,0,1.56997,-130.319,0.721363,0.3761
1290000,1,1.86778,-130.265,0.562601,0.426
1300000,0,2.01861,-131.695,0.977547,0.378425
1310000,0,-0.144439,-131.332,1.04796,0.3491
1320000,0,2.75159,-131.358,0.331997,0.3673
1330000,0,0.736256,-130.84,0.474252,0.379589
1340000,0,1.16605,-129.853,1.22517,0.392
1350000,0,1.71322,-131.392,0.0156033,0.3683
1360000,0,2.8254,-131.204,0.213864,0.376975
1370000,0,2.43139,-132.056,0.18911,0.364
1380000,1,3.35652,-135.61,0.449006,0.373513
1390000,1,2.28146,-128.165,1.15119,0.3851
1400000,0,2.67679,-130.816,0.54254,0.38756
1410000,0,1.59332,-130.132,0.675878,0.3672
1420000,0,2.31788,-131.553,0.071472,0.3788
1430000,0,2.62754,-130.58,0.232186,0.3693
1440000,0,-1.63347,-133.405,2.15223,0.381567
1450000,0,2.25773,-130.301,0.824748,0.38995
1460000,0,2.30709,-132.924,0.398464,0.373656
1470000,0,1.01048,-131.494,0.627268,0.3409
1480000,0,0.988351,-130.307,0.661022,0.38882
1490000,2,5.10154,-131.046,0.647382,0.363725
1500000,0,2.00383,-130.137,0.340344,0.35885
1510000,1,1.13988,-129.192,1.06188,0.3483
1520000,0,1.03325,-132.015,0.0789822,0.36148
1530000,1,4.11844,-128.138,2.12923,0.369067
1540000,0,1.80419,-129.973,0.323794,0.35895
1550000,0,0.831133,-130.151,1.76737,0.382875
1560000,1,5.06308,-132.163,0.603433,0.3751
1570000,0,0.892666,-130.996,0.27079,0.364367
1580000,0,2.36642,-130.555,0.692631,0.352833
1590000,0,2.46019,-130.119,0.202972,0.3661
1600000,1,4.41112,-131.755,0.838812,0.365783
1610000,1,4.69932,-132.443,1.17976,0.3514
1620000,0,2.739,-131.482,0.263298,0.364633
1630000,0,0.855961,-133.73,0.206093,0.3997
1640000,0,2.67892,-129.92,0.279123,0.39245
1650000,0,2.02474,-131.859,0.00353064,0.3505
1660000,0,2.78523,-132.981,0.474538,0.372267
1670000,3,7.00675,-128.772,1.47186,0.3759
1680000,1,5.64633,-130.92,0.235311,0.3961
1690000,1,4.84322,-132.581,0.634735,0.3813
1700000,0,2.86692,-130.154,0.0392422,0.3445
1710000,1,4.28797,-129.757,0.570197,0.380875
1720000,1,1.52164,-133.671,0.939627,0.3501
1730000,1,4.04927,-127.009,0.204326,0.382073
1740000,1,2.53381,-128.672,1.44376,0.36455
1750000,0,2.56921,-131.271,0.290486,0.375733
1760000,0,1.70844,-130.41,0.0604284,0.39195
1770000,1,1.81345,-126.566,0.903464,0.401
1780000,0,1.35555,-130.884,0.184554,0.3508
1790000,0,2.11051,-130.196,0.0691944,0.37525
1800000,0,1.94003,-131.361,1.07461,0.380329
1810000,0,1.45365,-130.528,0.715028,0.3916
1820000,0,0.232357,-132.067,1.68826,0.3635
1830000,0,3.1873,-132.323,0.15174,0.383962
1840000,0,2.46373,-130.056,0.462362,0.37702
1850000,0,1.50622,-130.876,0.14153,0.3982
1860000,0,2.65075,-131.685,0.375965,0.3728
1870000,1,5.45232,-130.854,0.385527,0.369044
1880000,1,4.10447,-130.052,0.174814,0.38915
1890000,0,2.19639,-130.801,0.368461,0.4088
1900000,0,1.53,-130.623,0.508301,0.368883
1910000,0,1.42805,-131.37,0.156891,0.363625
1920000,0,1.48414,-131.03,0.419189,0.37138
1930000,1,1.47416,-130.221,3.37967,0.3576
1940000,0,1.49057,-130.506,0.234959,0.38055
1950000,0,0.778544,-134.89,0.227668,0.373
1960000,0,0.503354,-132.376,0.0564989,0.37084
1970000,0,1.29894,-130.971,0.322655,0.36545
1980000,0,2.71808,-131.668,0.0704908,0.379
1990000,0,-0.306382,-132.302,0.974369,0.3329
2000000,0,0.647948,-131.349,2.1129,0.372314
2010000,0,0.346763,-134.199,1.22581,0.37105
2020000,0,1.50304,-130.32,0.491819,0.3638
2030000,0,1.7684,-129.857,0.527809,0.350867
2040000,0,0.428802,-132.234,0.0479265,0.359287
2050000,2,6.30414,-128.372,0.67099,0.3715
2060000,0,1.57712,-131.31,0.791357,0.391167
2070000,0,1.83325,-130.519,0.364835,0.390033
2080000,0,2.11307,-129.879,0.418613,0.376312
2090000,2,5.84961,-129.381,2.19028,0.3392
2100000,1,3.35868,-126.976,1.00037,0.37766
2110000,0,2.43239,-130.203,0.189158,0.3761
2120000,0,2.0963,-131.872,0.240728,0.3731
2130000,1,1.15637,-131.286,2.31731,0.4269
2140000,0,0.843295,-131.601,1.26265,0.383613
2150000,0,0.515844,-131.705,1.89021,0.376
2160000,0,1.07901,-131.098,0.157999,0.376133
2170000,0,1.74328,-132.473,0.208681,0.367933
2180000,0,2.18158,-131.06,0.219892,0.38204
2190000,0,1.81387,-130.926,0.212937,0.351567
2200000,0,1.39563,-131.017,0.44794,0.35325
2210000,1,1.34454,-130.004,2.0774,0.4071
2220000,0,2.74808,-130.56,0.0425805,0.3675
2230000,0,-0.0475938,-133.295,0.8074,0.368
2240000,0,2.29485,-129.932,0.0936497,0.3641
2250000,0,0.264615,-132.994,1.66953,0.3647
2260000,0,1.0777,-132.98,0.702089,0.3475
2270000,0,2.54196,-131.423,0.434712,0.358458
2280000,0,2.24731,-131.367,0.441603,0.350075
2290000,0,2.13953,-129.72,0.557935,0.3596
2300000,0,1.47352,-131.682,0.633246,0.37265
