generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.20176,-117.012,1,1
10000,0,3.86408,-111.396,0.0525683,0.381
20000,0,2.68158,-112.279,0.0694496,0.39358
30000,0,2.8852,-111.265,0.689763,0.397087
40000,0,2.38949,-115.865,0.100445,0.3897
50000,0,2.43252,-112.193,0.285495,0.406712
60000,0,2.72464,-111.614,0.223249,0.414775
70000,2,7.83302,-104.221,1.21275,0.4247
80000,1,5.65887,-108.92,0.971558,0.5485
90000,2,6.19098,-105.964,2.36035,0.446025
100000,2,7.42476,-109.689,2.31015,0.5354
110000,0,2.1729,-112.551,0.011426,0.41169
120000,0,3.52322,-111.351,0.186578,0.4585
130000,0,1.93443,-111.975,1.64284,0.377
140000,1,5.23005,-105.243,1.27231,0.525425
150000,0,3.86904,-113.095,0.189906,0.41035
160000,0,3.88503,-113.743,0.152386,0.43645
170000,1,-1.54937,-110.715,2.40802,0.421075
180000,1,4.66725,-107.419,1.92365,0.4987
190000,1,5.25766,-109.772,0.413013,0.452233
200000,1,4.09276,-108.891,1.60427,0.52036
210000,1,2.22787,-106.129,1.77694,0.535967
220000,2,4.05149,-106.597,2.94309,0.5312
230000,0,3.274,-111.934,0.0258572,0.4387
240000,0,3.69721,-115.356,0.101404,0.3773
250000,1,0.777846,-108.451,0.854724,0.4629
260000,0,3.59449,-113.248,0.141438,0.469225
270000,0,2.20694,-113.56,1.50361,0.479567
280000,0,1.60982,-111.986,1.85045,0.41955
290000,1,2.25782,-112.18,1.47463,0.41675
300000,3,7.02423,-108.668,3.24399,0.51986
310000,1,6.18042,-110.023,0.266319,0.5468
320000,4,12.8907,-106.487,2.00393,0.5331
330000,2,3.29028,-105.292,1.17184,0.51024
340000,0,3.24475,-111.484,0.00501459,0.417262
350000,1,4.6821,-109.201,0.628776,0.4044
360000,1,6.35059,-111.948,1.33132,0.410967
370000,0,1.11997,-114.939,0.68939,0.43506
380000,0,0.825924,-112.434,3.22603,0.389878
390000,1,5.84245,-114.031,0.884061,0.395167
