generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-4.01899,-207.548,1,1
10000,3,15.5152,17.5847,2.51071,0.5058
20000,6,23.9889,40.4327,4.5029,0.466177
30000,3,14.6132,43.826,1.51125,0.433619
40000,5,23.4476,55.9578,3.92489,0.3699
50000,4,20.0463,21.6829,1.83853,0.3802
60000,6,25.0799,46.2497,4.28369,0.38672
70000,3,16.1646,41.3539,1.96158,0.392633
80000,7,32.33,14.6822,3.97861,0.36505
90000,9,37.1928,60.2449,5.09569,0.381896
100000,5,22.5639,47.1569,1.23753,0.3655
110000,9,33.6212,33.7904,3.81654,0.394675
120000,5,24.2041,23.3166,3.36031,0.3814
130000,3,15.6228,44.8116,3.32742,0.363533
140000,5,23.6972,49.4488,1.13581,0.380167
150000,3,14.3676,36.2593,1.8252,0.3771
160000,5,26.1032,50.9896,4.4459,0.3859
170000,6,29.5957,10.5219,3.3071,0.4018
180000,3,16.1152,38.313,1.22488,0.388167
190000,4,18.7747,57.8831,3.00424,0.372117
200000,3,13.7306,53.2335,2.14487,0.3559
210000,5,26.4997,48.016,1.60633,0.3836
220000,5,26.3333,46.3605,2.20284,0.39066
230000,8,33.8938,49.0724,3.58553,0.3598
240000,4,17.5458,21.154,6.14903,0.3873
250000,5,26.2709,50.2528,2.21827,0.382
260000,4,20,39.8137,3.5041,0.378533
270000,3,15.278,36.4829,2.56202,0.36935
280000,7,31.4242,42.6105,3.43181,0.39965
290000,5,23.952,39.2676,2.1363,0.3664
300000,7,33.6496,38.1694,4.18352,0.384363
310000,8,30.9697,73.5264,5.64347,0.379217
320000,7,23.7614,46.5761,5.56238,0.3622
330000,4,19.9576,36.2069,2.22485,0.386567
340000,3,15.3702,36.7304,2.17783,0.3851
350000,7,37.9154,41.0374,2.34062,0.37375
360000,6,26.2003,42.1049,3.71465,0.37455
370000,7,35.8124,48.9507,3.29702,0.365362
380000,11,53.0896,52.3999,3.46786,0.387767
390000,7,28.0741,45.8211,6.43169,0.371312
400000,5,22.5327,32.5457,3.0016,0.3795
410000,5,21.2191,33.6725,3.4203,0.36312
420000,5,25.2269,50.5654,3.15874,0.3618
430000,4,19.1104,57.2546,2.18535,0.3683
440000,3,10.0666,49.7848,1.58316,0.3754
450000,8,25.6765,30.6386,5.22755,0.374
460000,5,21.3701,58.9138,3.09855,0.356767
470000,6,28.676,46.1129,3.08591,0.365367
480000,3,14.9047,39.1724,1.20861,0.37991
490000,4,18.1203,48.8005,3.44126,0.368275
500000,5,23.0042,40.1402,3.189,0.368725
510000,3,19.2155,12.019,0.60685,0.382067
520000,3,12.5173,43.9128,0.863347,0.37255
530000,4,17.3743,54.8015,3.1932,0.3547
540000,3,16.1103,58.1099,1.81743,0.36924
550000,6,27.7411,38.0671,4.6415,0.3594
560000,7,31.4027,52.5221,3.64549,0.368133
570000,6,23.5001,53.0163,6.34988,0.369
580000,4,22.7917,45.5308,1.31616,0.371214
590000,4,22.5555,48.5639,1.70543,0.3577
600000,4,18.8959,28.7251,1.69003,0.3764
610000,10,41.7118,58.1055,6.84075,0.3419
620000,4,20.5231,43.5003,2.14629,0.374513
630000,6,25.6907,59.1252,4.08638,0.38284
640000,9,44.984,48.1828,4.23624,0.36335
