generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-3.7929,-101.499,1,0
10000,2,10.6335,18.1417,1.72926,0.522048
20000,2,12.8206,4.2113,1.09113,0.545273
30000,1,8.13526,-11.7501,1.14463,0.519767
40000,2,12.8411,18.9505,1.48319,0.4895
50000,0,4.47626,-3.4273,0.695186,0.530125
60000,3,17.2117,8.21187,1.48233,0.4754
70000,3,15.1518,12.8152,3.06862,0.524307
80000,2,13.3082,9.20263,0.782052,0.44905
90000,2,12.3624,-9.10935,0.863284,0.492475
100000,4,16.9923,1.16754,1.98333,0.4824
110000,6,25.5822,18.7833,4.40327,0.47895
120000,1,8.74533,-0.265891,0.736013,0.47825
130000,4,20.5524,2.63166,2.16188,0.4832
140000,4,15.1351,-10.9267,2.09643,0.5017
150000,6,25.8829,-3.23282,2.58225,0.5143
160000,4,16.6284,-0.894167,2.98346,0.50415
170000,3,17.0957,14.9719,0.948644,0.495207
180000,5,20.8184,18.0764,2.7832,0.4521
190000,8,35.6809,12.2539,5.53933,0.488067
200000,3,16.3439,0.574547,0.571364,0.44425
210000,0,3.0911,-7.32078,0.775213,0.47665
220000,3,16.6324,26.8574,0.72517,0.488254
230000,2,13.5265,12.7472,0.413457,0.490367
240000,2,9.92776,2.12922,0.730756,0.49
250000,5,23.1279,12.0035,1.91215,0.440117
260000,3,11.0143,-3.65424,3.26788,0.4906
270000,1,8.30092,-1.92002,0.376101,0.487033
280000,4,23.5083,-0.351922,1.81691,0.47465
290000,4,21.4109,-8.3761,1.16998,0.5256
300000,1,8.98907,0.486758,0.291369,0.5428
310000,2,12.6274,18.8371,0.59963,0.495967
320000,3,16.5264,14.908,1.27121,0.4552
330000,5,22.1761,5.49632,2.85193,0.509433
340000,2,10.2365,14.0013,0.928918,0.490342
350000,3,6.4493,21.9753,2.44323,0.470433
360000,3,14.5254,14.6087,0.973157,0.471
370000,3,13.4707,3.76696,2.24139,0.480113
380000,4,18.0693,20.3248,2.97467,0.4439
390000,7,27.8737,18.3351,4.08193,0.458825
400000,2,13.3578,12.5611,0.860438,0.46645
410000,1,9.44473,9.9691,0.373994,0.47625
420000,2,10.131,18.8963,2.62562,0.4693
430000,2,8.55174,9.80042,0.982693,0.478789
440000,2,10.6263,11.5766,1.08019,0.4885
450000,0,4.54228,-8.73098,0.188542,0.539475
460000,4,19.9266,14.8005,4.15174,0.5212
470000,5,21.6184,18.9921,3.89888,0.500475
480000,1,6.2794,2.06561,0.864467,0.4767
490000,2,10.2683,-8.09148,2.33304,0.499525
500000,1,7.31163,-4.4936,2.9916,0.4766
510000,2,9.08602,-0.867629,1.17564,0.56755
520000,5,23.4704,19.4079,2.79886,0.53365
530000,1,7.84081,-1.10609,0.81137,0.50095
540000,1,7.31286,1.88828,1.0812,0.495983
550000,8,36.5213,23.852,4.494,0.4765
560000,3,15.446,0.650327,2.18049,0.4708
570000,2,11.8703,21.434,2.12194,0.502364
580000,5,21.6404,20.1963,2.1689,0.493233
590000,4,18.8995,13.1661,2.89159,0.474
600000,3,15.9734,10.0285,1.81241,0.4439
610000,1,7.35582,2.17163,1.85702,0.4486
620000,3,16.5636,3.39488,1.38944,0.4923
630000,2,11.0546,14.7865,0.797664,0.4646
640000,2,12.6153,2.53472,0.330632,0.482
650000,3,15.6648,-8.4991,3.33071,0.4903
660000,6,26.5759,16.3305,1.37803,0.455833
670000,2,14.1392,14.5782,0.647143,0.5092
680000,4,17.346,3.28,1.32745,0.50227
690000,2,8.46899,6.81778,1.47803,0.52022
700000,4,18.8089,22.1884,0.769733,0.4497
710000,4,9.29903,9.56087,2.9724,0.467175
720000,3,13.4645,8.27573,3.11745,0.5279
730000,3,16.3487,2.58059,0.820065,0.474
740000,4,20.0819,-2.41801,1.66429,0.512275
750000,5,20.7539,3.70649,2.472,0.5065
760000,1,8.91573,3.30142,0.25179,0.4765
770000,4,14.7076,-0.408411,3.74152,0.494833
780000,2,11.2614,15.1148,0.940319,0.480137
790000,0,4.61763,3.82436,0.590347,0.50355
800000,2,13.2332,9.25755,1.12987,0.475867
810000,2,13.9223,-4.49647,0.588193,0.4849
820000,2,11.4404,-14.641,1.24396,0.49205
830000,2,6.84528,4.93022,3.8993,0.4908
840000,6,25.4772,25.7491,2.94446,0.4583
850000,4,21.7186,13.2926,2.82718,0.496922
860000,4,19.6788,10.0614,3.17776,0.4776
870000,3,14.3983,20.2722,2.09375,0.471625
880000,5,14.9943,12.3824,3.40087,0.4844
890000,2,11.1892,14.1146,1.08669,0.502167
900000,2,11.317,18.6796,0.644589,0.4466
910000,5,26.7167,4.17756,1.30108,0.4637
