generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-25.925,-86.9851,1,1
10000,0,4.86642,28.8494,0.115348,0.465753
20000,1,10.5001,29.5691,1.1329,0.4502
30000,0,3.02111,23.6563,0.756657,0.458251
40000,1,11.5498,36.5088,0.39537,0.443614
50000,4,25.312,32.6463,2.7109,0.441867
60000,2,18.9732,34.6666,0.325771,0.42965
70000,2,16.4624,25.4263,0.858994,0.447675
80000,2,16.5733,31.1587,1.67859,0.43665
90000,0,6.37346,32.312,0.223047,0.45305
100000,0,6.14958,23.4636,0.298963,0.426825
110000,2,16.0851,23.2574,0.72824,0.43
120000,6,35.8189,41.3145,3.35361,0.426167
130000,1,9.068,26.186,0.952893,0.43866
140000,3,21.444,30.6419,2.45258,0.419125
150000,2,15.319,40.7417,1.31133,0.440975
160000,1,11.6747,25.5712,1.16253,0.4128
170000,0,6.43653,32.7248,0.140882,0.439633
180000,2,13.6978,38.0649,1.98366,0.46194
190000,1,12.1532,36.434,0.643332,0.4288
200000,0,5.8463,29.8954,0.765214,0.4126
210000,0,5.91673,30.0118,0.545311,0.4256
220000,0,6.63329,30.1334,0.114014,0.42176
230000,0,5.85265,43.9735,0.103713,0.4207
240000,0,6.48431,37.7083,0.246317,0.4075
250000,0,5.79033,34.7873,0.563411,0.4263
260000,2,15.2633,43.3563,2.14357,0.4315
270000,0,5.2199,38.6837,0.362998,0.4097
280000,1,12.9496,25.341,0.374991,0.416582
290000,6,35.2934,38.6078,2.95471,0.416133
300000,0,5.44843,35.6396,0.726288,0.4091
310000,1,9.07378,36.3184,0.435664,0.416767
320000,2,18.2005,31.9588,0.22646,0.4268
330000,1,12.3315,36.8831,0.337119,0.4382
340000,0,6.03708,26.3079,0.552718,0.4212
350000,0,6.72187,40.7249,0.0604628,0.438
360000,1,9.90806,23.4459,0.856025,0.4443
370000,1,11.9048,37.8405,1.36643,0.4219
380000,0,4.71799,26.1214,0.0498464,0.434371
390000,0,4.90941,24.4215,0.196047,0.4533
400000,1,11.9281,31.0298,0.961288,0.418
410000,0,6.7281,39.7465,0.0154437,0.4349
420000,0,6.49492,48.4736,0.248384,0.41566
430000,0,6.68972,41.0646,0.0406287,0.4162
440000,1,11.5541,32.2024,0.90423,0.4383
450000,0,6.52726,32.7161,0.145524,0.4256
460000,1,12.7062,35.3736,0.199332,0.4144
470000,0,6.0342,41.7163,0.575161,0.409
480000,4,27.8998,46.1497,1.49334,0.3958
490000,2,17.2384,31.682,1.20522,0.4306
500000,0,6.13117,38.5472,0.300502,0.4268
510000,2,15.8854,33.9198,2.79233,0.4288
520000,0,6.24959,32.6449,0.345143,0.40705
530000,2,16.7783,26.4134,1.46631,0.4162
540000,1,10.3543,37.2794,1.19564,0.43217
550000,1,11.6433,31.9495,1.2996,0.430069
560000,0,6.53185,40.6292,0.151254,0.42405
570000,0,6.44278,42.868,0.301255,0.422075
580000,1,12.3974,36.8963,0.433889,0.41705
590000,4,26.6908,38.644,1.54541,0.433538
600000,0,6.68543,30.2778,0.0200597,0.41645
610000,1,7.29231,36.2148,0.641867,0.41965
620000,0,4.58663,34.0626,0.971943,0.398
630000,0,5.08691,28.2328,0.126352,0.4096
640000,2,12.0837,34.2704,1.92286,0.420978
650000,2,18.1338,29.5577,1.03466,0.4518
660000,2,15.891,29.9567,1.89631,0.419217
670000,2,17.6454,19.5468,0.981479,0.42245
680000,1,10.0937,39.3339,0.578369,0.41
690000,2,13.8834,44.791,3.81182,0.416467
700000,0,6.04558,34.7913,0.629349,0.418915
710000,0,6.5911,26.5903,0.0949722,0.41415
720000,0,5.50824,31.2225,0.608511,0.4231
730000,0,6.45177,28.0795,0.0492795,0.43615
740000,0,4.6091,33.9226,1.64647,0.427
750000,2,18.6762,45.7901,0.560106,0.414929
760000,1,11.6611,26.8457,1.00164,0.4068
770000,1,9.71374,29.4265,0.172255,0.430067
780000,1,12.7329,39.2709,0.264762,0.420167
790000,0,5.68982,33.518,0.892728,0.431167
800000,8,47.7431,31.2466,4.77999,0.4218
810000,0,4.93809,39.7059,1.8458,0.4024
820000,0,5.48677,35.1626,0.735757,0.42074
830000,5,28.0119,46.8783,2.81561,0.42245
840000,0,6.64715,36.3138,0.00730674,0.417775
850000,0,6.31859,39.2862,0.214906,0.4107
860000,0,6.40945,37.9579,0.143939,0.413133
870000,0,5.86197,33.16,0.170804,0.43165
880000,1,11.1429,27.1935,0.371391,0.414783
890000,1,11.8318,32.8646,0.474324,0.4523
900000,0,6.2906,28.6821,0.00150155,0.441482
910000,0,6.29428,32.2736,0.361236,0.42266
920000,0,5.71531,27.5042,0.895762,0.43575
930000,0,6.42368,41.1414,0.135074,0.42135
940000,0,5.1183,39.4075,0.786845,0.3887
950000,0,5.92489,40.5956,0.625157,0.405
960000,0,5.57109,35.956,1.11528,0.426786
970000,2,13.0589,44.0921,3.14089,0.4196
980000,0,6.11268,40.652,0.147189,0.4134
990000,0,5.87557,35.5287,0.682484,0.4038
1000000,2,17.6398,32.2997,0.747758,0.4117
1010000,1,11.441,22.7201,0.122857,0.4133
1020000,0,6.53671,40.9888,0.126614,0.4318
1030000,0,6.41056,27.6242,0.211586,0.4135
1040000,3,21.7175,28.1706,2.17413,0.417975
1050000,3,18.9768,30.5428,0.826595,0.40757
1060000,1,10.4279,36.9233,0.946251,0.435467
1070000,0,6.66042,37.463,0.0574432,0.4093
1080000,1,9.51244,24.6064,2.39316,0.4348
1090000,0,5.95204,34.8806,0.559451,0.3872
1100000,0,6.54283,34.2491,0.0814313,0.4224
1110000,1,11.5878,39.9987,0.307142,0.424879
1120000,1,10.7733,41.6575,1.44889,0.41845
1130000,4,25.6778,27.7416,2.24149,0.41935
1140000,2,17.4323,33.6925,1.79566,0.40955
1150000,1,8.75598,26.0882,1.00374,0.428217
1160000,0,6.39213,32.4901,0.333305,0.41235
1170000,0,6.16559,36.4472,0.223127,0.4225
1180000,1,9.77717,31.0081,1.97139,0.4208
1190000,0,5.18316,27.4364,1.15199,0.415667
1200000,1,11.0473,35.405,0.0296854,0.41675
1210000,0,6.47328,34.1697,0.127864,0.428656
1220000,2,15.0384,31.9644,1.92614,0.431214
1230000,0,5.49626,34.418,0.519557,0.424575
1240000,1,8.61615,47.3533,1.52381,0.3969
