generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-70.8606,-127.297,1.27205,1
10000,1,9.90101,76.9776,1.271,0.506049
20000,4,28.2033,85.6712,5.55227,0.437128
30000,0,5.75963,73.0425,0.425331,0.408253
40000,0,7.14822,77.4793,0.0200314,0.3613
50000,0,7.35146,83.8382,0.248302,0.36715
60000,0,7.3065,88.6281,0.375014,0.35892
70000,1,12.7903,82.5126,0.67111,0.397329
80000,5,36.0787,67.5101,2.1578,0.3721
90000,1,11.8694,74.6125,0.283413,0.38305
100000,0,7.36516,77.4511,0.0962523,0.3765
110000,2,21.1967,84.9863,0.683519,0.366
120000,1,11.8607,84.8579,1.13843,0.374
130000,1,14.0252,89.8568,0.34248,0.36055
140000,1,14.0358,82.1446,0.293585,0.3717
150000,1,11.4408,79.2492,2.47578,0.365986
160000,0,7.6279,85.1204,0.00927764,0.3605
170000,0,6.55422,72.2063,0.359608,0.3762
180000,0,7.44521,86.4724,0.187693,0.3595
190000,0,7.35712,77.4071,0.197817,0.3675
200000,1,12.1882,67.2253,2.34906,0.3662
210000,0,5.30469,78.8825,0.29174,0.40485
220000,1,12.6941,79.062,1.78284,0.367594
230000,2,19.7043,79.2314,1.31127,0.389833
240000,2,15.8012,77.8747,0.661792,0.3661
250000,1,14.1328,82.9902,0.738643,0.3701
260000,0,7.11791,89.4217,0.356611,0.3533
270000,0,7.40077,85.0217,0.123033,0.3575
280000,1,13.0422,93.1634,0.363923,0.342
290000,3,28.2348,70.7229,2.28969,0.382
300000,1,11.348,74.5834,0.732321,0.372927
310000,2,18.7301,76.9944,1.0594,0.36275
320000,0,6.18718,90.3807,0.203462,0.377464
330000,1,11.719,84.9597,1.3356,0.3711
340000,0,6.78139,71.539,0.00388684,0.3812
350000,2,17.2463,70.1466,1.84148,0.36995
360000,1,11.9901,78.1013,1.41102,0.36985
370000,0,4.86711,84.5429,0.606163,0.3639
380000,0,7.32185,81.4359,0.00879263,0.36804
390000,0,6.87431,84.7864,0.0114129,0.372869
400000,0,7.2407,63.8139,0.248946,0.3784
410000,0,6.30976,75.2301,1.17133,0.36294
420000,0,7.34739,78.6246,0.129926,0.3709
430000,1,11.9633,82.2019,2.51429,0.3583
440000,0,7.45342,88.8081,0.194364,0.362671
450000,1,13.6997,66.1404,0.264524,0.3576
460000,0,7.40613,79.9002,0.021554,0.377067
470000,2,21.9523,69.3202,0.583148,0.363057
480000,0,6.96369,75.9899,0.426942,0.376478
490000,0,7.38062,82.3158,0.157397,0.3829
500000,0,7.22782,78.88,0.23528,0.3593
510000,0,7.44147,75.179,0.0920262,0.36045
520000,3,23.1189,84.3748,1.55014,0.3859
530000,0,7.12935,75.4589,0.163572,0.3793
540000,0,4.80057,81.5348,0.277605,0.3732
550000,0,6.93222,78.4304,0.519725,0.36855
560000,2,17.82,79.1114,3.20284,0.37614
570000,0,5.34702,75.1465,0.0579019,0.3833
580000,3,24.0461,76.1548,1.00133,0.367833
590000,0,5.07046,72.511,0.143487,0.378409
600000,0,4.47159,74.6241,0.847397,0.399
610000,0,6.51723,73.7337,0.724093,0.3837
620000,2,15.4752,67.3797,3.22311,0.3932
630000,0,6.99259,82.4763,0.56992,0.37118
640000,0,2.97721,75.7605,0.0855396,0.400429
650000,1,9.85141,75.7231,1.00646,0.372875
660000,0,4.84006,90.3493,0.8038,0.393825
670000,1,8.33791,69.9525,1.74148,0.3665
680000,0,4.37415,76.7034,1.40401,0.39065
690000,1,12.5908,77.0554,0.664098,0.3639
700000,2,20.4079,74.4024,1.00639,0.37742
710000,3,25.67,69.0803,2.0646,0.371
720000,0,4.60023,76.2041,2.07742,0.383625
730000,0,6.17846,67.2905,0.369274,0.398
740000,0,5.52489,70.1758,0.694452,0.38765
750000,0,4.91841,73.0478,0.186753,0.397245
760000,0,5.64927,80.7919,1.22487,0.375625
770000,0,5.80629,71.9671,0.962947,0.3863
780000,0,6.60207,69.1084,0.657753,0.384575
790000,1,13.3669,85.8673,0.177132,0.377017
800000,1,14.0993,77.7197,0.814897,0.3866
810000,1,13.2828,82.7229,1.44549,0.3834
820000,1,12.2728,74.472,0.792602,0.386225
830000,0,5.90133,69.6498,1.01096,0.381
840000,1,13.4004,86.4395,0.621634,0.386844
850000,0,6.29774,85.9962,0.966233,0.37935
860000,0,7.07049,61.3219,0.239203,0.3686
870000,2,16.4805,75.9973,0.430435,0.37565
880000,0,6.07753,81.8373,0.624974,0.3868
890000,1,11.8147,65.6461,0.748633,0.37545
900000,1,13.624,82.1357,0.328479,0.39105
910000,0,5.96661,72.557,1.4494,0.373633
920000,0,6.21723,58.911,0.441038,0.378464
930000,0,6.1385,83.9984,0.836085,0.3766
940000,0,6.68678,82.1188,0.25922,0.3877
950000,1,11.7974,80.9842,2.33445,0.37712
960000,3,24.6765,78.1694,2.32786,0.383814
970000,1,13.3448,69.9079,1.22402,0.37245
980000,1,13.1695,85.3356,0.420442,0.385629
990000,0,5.66021,74.9375,0.842767,0.37986
1000000,2,17.3972,81.4079,2.70512,0.383533
1010000,1,12.5679,76.6401,0.69861,0.3932
1020000,0,6.48743,78.1174,0.143161,0.3928
1030000,0,5.71764,84.019,0.0169538,0.383186
1040000,0,4.9208,80.2627,0.455185,0.389467
1050000,1,12.3606,79.8992,1.12438,0.385086
1060000,1,12.0708,77.9319,0.612909,0.374067
1070000,1,10.7064,77.6759,0.492055,0.3864
1080000,0,6.95684,74.4168,0.0582016,0.37735
1090000,0,6.83943,72.6765,0.0982147,0.377175
1100000,1,13.193,86.3809,0.962578,0.372025
1110000,1,10.5215,75.6313,0.837547,0.39195
1120000,1,13.6768,78.6751,0.597419,0.3759
1130000,2,18.1311,84.089,0.53134,0.3523
1140000,1,12.9987,69.0342,1.20761,0.388943
1150000,0,5.57408,80.1338,0.493984,0.37555
1160000,0,7.38005,86.7156,0.127131,0.377067
1170000,0,6.7462,74.5926,0.728405,0.378289
1180000,1,12.9446,77.7123,1.68437,0.371
1190000,1,13.1137,84.1612,0.636702,0.37634
1200000,2,18.1179,89.4954,1.84614,0.360525
1210000,3,26.477,77.7197,1.62162,0.36775
1220000,1,12.3618,82.3696,1.29537,0.3775
1230000,1,13.3279,79.6538,0.171135,0.3669
1240000,4,31.3815,64.3684,1.06985,0.388
1250000,0,6.49364,90.0124,0.741271,0.360225
1260000,1,12.6175,77.7038,0.97494,0.382
1270000,2,18.9049,81.851,1.23095,0.3797
1280000,0,6.66451,78.9959,0.911011,0.36075
1290000,0,7.39979,79.9039,0.0570683,0.3766
1300000,0,7.38081,86.8513,0.0437029,0.362758
1310000,0,6.6393,60.1587,0.592827,0.38015
1320000,0,7.38568,87.1179,0.0263256,0.38985
1330000,0,7.53757,79.45,0.0155597,0.371513
1340000,0,7.38156,83.8265,0.244358,0.37345
1350000,1,10.2286,74.3124,0.705529,0.375575
1360000,0,6.76648,74.2916,0.189271,0.3901
1370000,0,6.93395,68.3033,0.534324,0.3648
1380000,3,23.096,91.9463,3.89456,0.37518
1390000,0,7.32895,67.4665,0.209276,0.3761
1400000,0,7.37854,87.776,0.261429,0.3702
1410000,1,13.832,81.0198,0.351946,0.3745
1420000,0,6.72422,83.3176,0.933236,0.37365
1430000,0,7.39061,80.5382,0.180485,0.36815
1440000,0,6.51425,74.622,0.562299,0.369657
1450000,0,5.80756,70.2556,0.10522,0.4019
1460000,0,6.7944,64.58,0.697622,0.3812
1470000,0,7.07512,83.332,0.459806,0.358
1480000,0,5.99097,61.3268,0.0381915,0.3639
1490000,0,4.58841,70.2088,0.00046589,0.384776
1500000,0,7.4894,79.9211,0.109224,0.3631
1510000,0,6.76156,76.8672,0.770457,0.3593
1520000,0,4.13323,74.1357,0.712635,0.390143
1530000,1,13.4897,87.5539,0.288205,0.373691
1540000,0,5.74538,66.6227,0.564136,0.3982
1550000,2,15.682,75.2512,1.84917,0.36705
1560000,2,17.9683,71.8375,2.18312,0.3839
1570000,2,19.6735,87.3863,1.76834,0.379167
1580000,1,10.8209,82.6933,0.403027,0.388589
1590000,0,6.70755,64.2611,0.0318177,0.38225
1600000,0,7.08316,82.7269,0.529978,0.36868
1610000,0,2.81838,83.9194,0.203329,0.3703
1620000,0,6.36076,77.9628,1.08279,0.37405
1630000,0,5.55109,70.967,1.23017,0.36975
1640000,0,6.88972,72.4593,0.124644,0.36708
1650000,2,19.0052,78.6374,0.78129,0.36345
1660000,1,12.0183,89.1843,0.223078,0.36895
1670000,0,6.31396,81.8826,1.23051,0.37145
1680000,0,5.93725,84.3691,1.67545,0.3577
1690000,0,7.40905,87.4155,0.17026,0.362214
1700000,0,6.70286,72.6345,0.17133,0.3543
1710000,10,64.5669,76.72,3.96051,0.3498
1720000,1,11.1334,81.5008,0.0918207,0.35535
1730000,1,10.9107,78.5455,0.964199,0.369429
1740000,1,7.19139,77.6392,1.78564,0.380012
1750000,0,6.80971,67.0064,0.148076,0.37685
1760000,4,31.5592,78.6642,3.71712,0.371725
1770000,0,6.05004,68.1702,0.227837,0.3826
1780000,1,14.9041,77.7496,0.293333,0.3624
1790000,0,6.78723,79.7998,0.823868,0.36585
1800000,1,10.6729,87.5932,3.0539,0.367544
1810000,1,14.1593,63.4382,0.868875,0.3696
1820000,0,6.94796,68.8056,0.439348,0.3677
