generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-55.5775,-134.337,1,1
10000,1,14.2283,57.2856,0.158232,0.6234
20000,3,23.0992,72.2732,1.22278,0.3848
30000,1,9.35454,82.22,0.758424,0.372
40000,2,19.6358,71.1449,0.956491,0.456414
50000,0,6.96487,78.0254,0.453193,0.389372
60000,3,22.3744,66.3611,0.867208,0.439793
70000,1,14.1154,75.5989,0.0705907,0.3841
80000,0,6.73321,76.3594,0.670354,0.387375
90000,0,4.25604,66.6644,0.41997,0.4247
100000,3,22.7087,77.7848,3.23741,0.4159
110000,1,10.6365,61.4014,1.00365,0.3917
120000,1,9.11526,71.7482,2.29774,0.396389
130000,0,4.59172,70.04,0.775272,0.4398
140000,0,6.24093,67.6959,0.191337,0.377186
150000,0,5.49672,77.5857,0.541004,0.3713
160000,0,6.57529,70.2685,0.390927,0.40005
170000,0,5.61153,68.0162,0.14971,0.37195
180000,0,6.63122,85.2323,0.20444,0.3776
190000,0,6.07482,75.5658,0.154044,0.3658
200000,2,20.4015,79.482,0.752853,0.376025
210000,1,11.616,68.7489,1.05658,0.38662
220000,0,6.88826,74.9725,0.212683,0.4023
230000,0,5.87694,77.6011,0.709247,0.3695
240000,3,21.4011,63.6307,2.10208,0.37895
250000,0,6.38476,75.8364,1.02879,0.373925
260000,0,6.71715,72.6372,0.49622,0.3742
270000,2,17.9347,79.0384,3.41324,0.368933
280000,0,6.50415,71.0163,0.83083,0.36452
290000,2,19.5923,75.1028,1.99734,0.3777
300000,0,6.06572,63.1838,0.559329,0.39558
310000,1,13.995,78.2102,0.0830102,0.37306
320000,3,17.6028,79.4682,1.36919,0.37466
330000,1,13.6607,84.4997,0.607286,0.37745
340000,0,6.16278,74.2389,0.118987,0.3687
350000,2,14.839,52.4934,1.27247,0.40656
360000,0,7.14054,71.1283,0.0981453,0.3768
370000,0,6.67868,65.0872,0.575805,0.3751
380000,6,44.4068,75.7378,2.57356,0.381133
390000,4,29.1302,77.0791,3.65637,0.37362
400000,5,36.3783,73.2097,3.05518,0.3784
410000,6,35.655,72.3243,5.89687,0.3811
420000,0,6.79274,64.3136,0.407901,0.38502
430000,0,7.02601,76.5862,0.260259,0.4064
440000,0,6.32211,82.8439,1.08653,0.391
450000,0,6.8993,70.6081,0.410214,0.3921
460000,0,6.55229,60.7415,0.0287158,0.382967
470000,0,3.41464,66.2101,0.735012,0.3693
480000,4,28.8578,74.1346,3.67963,0.3656
490000,3,25.6373,74.7967,1.14731,0.37255
500000,1,14.3699,79.6845,0.500586,0.382825
510000,1,14.4648,78.077,0.157477,0.390518
520000,1,14.2765,78.5878,0.39682,0.37045
530000,1,8.84892,78.9662,1.81721,0.38284
540000,0,5.25429,53.6842,0.229914,0.3478
550000,1,13.5593,77.5997,0.782489,0.3712
560000,0,6.77046,76.9359,0.673027,0.3526
570000,0,7.23137,73.94,0.086046,0.372733
580000,1,11.2512,78.6026,1.70891,0.36615
590000,0,7.08602,70.5339,0.304097,0.37945
600000,0,7.25334,70.3194,0.158505,0.379718
610000,0,7.34026,74.1337,0.0759662,0.374111
620000,1,14.343,62.7557,0.495209,0.369067
630000,2,16.5324,72.895,3.21428,0.376533
640000,0,6.0359,73.6714,0.19017,0.368817
650000,0,5.14139,68.4124,1.72982,0.3663
660000,3,22.786,73.9005,4.54128,0.3823
670000,3,27.4863,68.485,0.762778,0.3842
680000,0,7.19758,68.0162,0.0563175,0.3818
690000,0,6.61023,75.2427,0.687468,0.379337
700000,1,13.9656,65.4131,0.644797,0.4089
710000,0,7.32103,72.4412,0.0250563,0.3827
720000,0,7.2727,72.2836,0.0815485,0.3943
730000,1,11.6866,78.43,2.18116,0.38106
740000,3,26.1149,66.8309,1.27963,0.388
750000,1,12.3601,70.7765,0.858128,0.3947
760000,1,10.926,77.898,1.78315,0.376233
770000,0,4.85808,57.3387,0.935819,0.392385
780000,0,7.41129,81.6816,0.0104601,0.383633
790000,0,7.00319,64.8481,0.373107,0.3808
800000,0,6.3355,76.3158,0.839636,0.38055
810000,0,6.58624,80.001,0.0174177,0.406167
820000,1,11.4808,65.6181,1.71307,0.388033
830000,0,6.28411,70.4573,0.892314,0.371467
840000,1,12.4996,74.726,0.625665,0.385
850000,2,17.6766,60.5092,1.76945,0.374967
860000,2,16.2047,81.3376,1.93553,0.38715
870000,3,21.4774,61.6336,3.07759,0.398917
880000,0,6.79046,53.3027,0.545055,0.3886
890000,0,6.80479,66.3505,0.467532,0.3696
900000,0,5.47298,65.328,1.43004,0.37415
910000,0,5.67642,78.5835,1.69953,0.395286
920000,0,6.54825,59.966,0.300385,0.4075
930000,0,6.53307,63.9818,0.796953,0.3825
940000,1,13.2585,66.3443,0.925761,0.3771
950000,1,13.9273,78.4127,1.12442,0.37819
960000,1,9.74816,78.4453,1.30617,0.372
970000,0,7.11046,64.7474,0.187894,0.37085
980000,3,25.1095,72.8669,2.96442,0.382567
990000,2,16.3311,72.3802,2.03401,0.3814
1000000,0,7.04997,67.956,0.219947,0.396338
1010000,1,13.8878,71.7532,0.100579,0.401575
1020000,1,13.9878,75.8039,0.271132,0.3824
1030000,0,6.52148,74.0707,0.0457807,0.3886
1040000,2,20.3521,78.8345,1.46917,0.381713
1050000,0,6.91256,68.111,0.11298,0.3766
1060000,0,6.44925,78.0736,0.0127663,0.3655
1070000,0,7.06628,68.2602,0.0474451,0.361333
1080000,1,12.8724,79.4634,0.811905,0.3688
1090000,1,13.9001,59.1135,0.337045,0.3734
1100000,5,38.563,73.5012,4.25574,0.386643
1110000,0,6.64828,63.0593,0.360705,0.378675
1120000,0,7.12534,71.3157,0.223373,0.3761
1130000,0,6.6272,72.1219,0.575451,0.38535
1140000,0,7.1188,69.5629,0.22324,0.3722
1150000,3,24.987,72.9861,2.51197,0.368533
1160000,0,6.53803,74.189,0.39431,0.371757
1170000,0,6.24926,65.3436,0.251102,0.37605
1180000,0,6.64444,66.4142,0.0284432,0.39315
1190000,0,6.11139,66.6551,0.615573,0.39425
1200000,1,14.6242,76.4882,0.0877386,0.384325
1210000,0,4.68962,74.9366,2.71515,0.3752
1220000,0,4.84146,68.2976,2.19577,0.3914
1230000,1,13.028,82.2071,0.679634,0.378507
1240000,2,18.2506,58.7439,0.794446,0.404133
1250000,1,12.1588,64.5802,0.150683,0.391633
1260000,0,6.86541,65.2739,0.00829297,0.394467
1270000,0,4.35353,82.4792,1.38054,0.378833
1280000,0,5.68832,72.3891,0.175602,0.391425
1290000,0,7.30842,67.5959,0.0912927,0.3816
1300000,2,18.7954,86.5265,0.323508,0.383867
1310000,2,19.4458,66.8511,1.55212,0.39105
1320000,0,6.68379,75.1317,0.732507,0.386725
1330000,0,6.79477,64.4123,0.460152,0.3658
1340000,1,13.4184,75.4044,0.318566,0.375367
1350000,1,12.6433,75.2302,0.910217,0.38849
1360000,0,6.21339,60.9815,1.10806,0.3992
1370000,2,14.4984,72.1926,2.64681,0.3673
