generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-32.2341,-149.214,1,1
10000,1,12.4724,64.6763,0.676833,0.525047
20000,0,6.3812,56.5233,0.416738,0.488526
30000,2,14.5522,81.0678,2.98619,0.4292
40000,2,16.4456,75.8711,1.57531,0.465238
50000,5,30.4889,76.1408,2.1978,0.45898
60000,4,14.6003,84.7491,8.17624,0.4169
70000,2,17.4996,66.5483,1.45522,0.458933
80000,2,16.5156,71.2792,1.35541,0.41166
90000,6,43.3053,88.8296,2.8445,0.4322
100000,0,6.28221,69.9072,0.0401789,0.437611
110000,1,12.793,75.2737,0.658531,0.42276
120000,5,33.5466,76.0202,3.43796,0.4429
130000,0,6.56357,57.5435,0.249917,0.441575
140000,2,18.5235,65.7566,0.590394,0.438414
150000,0,2.28664,63.8743,2.12162,0.43192
160000,2,15.4415,62.6155,1.21627,0.441767
170000,0,5.48408,56.3203,0.276425,0.4489
180000,0,5.9472,59.5033,0.819609,0.438533
190000,1,6.69364,47.837,1.99258,0.444286
200000,3,16.6859,58.879,2.42034,0.439683
210000,1,11.6603,54.5702,0.56163,0.4398
220000,1,12.3501,66.5713,1.00188,0.4295
230000,0,5.49129,68.9754,0.918993,0.42745
240000,0,6.71156,64.386,0.236912,0.442929
250000,0,5.9116,56.4221,1.0202,0.4454
260000,1,11.9425,65.0872,0.850146,0.436013
270000,0,5.94919,61.7896,1.00213,0.4623
280000,1,11.2459,60.6553,1.78782,0.44665
290000,4,28.9977,69.39,0.774984,0.447267
300000,2,10.3125,53.589,3.6271,0.4257
310000,1,11.2643,73.9685,0.973338,0.4482
320000,0,6.49912,74.4708,0.225962,0.4477
330000,1,12.8599,63.0881,0.719351,0.4275
340000,1,11.598,70.5609,1.98883,0.448014
350000,1,11.9604,64.392,1.87344,0.4583
360000,1,12.7785,51.0714,0.982977,0.450733
370000,0,6.42719,69.7758,0.511738,0.45405
380000,0,5.64889,63.5038,1.26653,0.450043
390000,0,6.46089,54.7631,0.0352202,0.4319
400000,2,18.0798,51.3952,0.269727,0.4503
410000,1,11.2908,68.8827,0.87117,0.44172
420000,2,18.5687,67.5163,1.11251,0.44569
430000,0,6.3364,60.61,0.620015,0.4495
440000,5,34.1337,94.1741,2.1984,0.4408
450000,9,57.3213,76.8698,3.03338,0.4292
460000,6,35.7772,72.5756,4.41596,0.458583
470000,0,6.6649,56.1066,0.197574,0.438883
480000,0,6.78241,68.2741,0.157807,0.4312
490000,3,21.5354,78.6733,2.03283,0.440825
500000,3,21.655,64.4998,1.77931,0.439086
510000,0,4.82045,63.4243,0.788906,0.445067
520000,3,18.3231,83.7966,3.06364,0.435033
530000,1,11.9824,58.5419,0.919952,0.3941
540000,0,5.34444,63.6944,1.17523,0.446075
550000,1,10.7157,64.735,0.988953,0.444078
560000,3,18.7145,101.911,1.30506,0.40204
570000,0,6.10097,62.1515,0.869078,0.4095
580000,0,6.08325,53.8805,0.349188,0.43912
590000,1,10.2672,66.3575,1.10156,0.436
600000,3,20.7606,63.8911,1.59151,0.440333
610000,1,13.2173,73.3174,0.689844,0.4519
620000,1,8.75726,74.4696,1.0477,0.4563
630000,8,49.5332,76.0982,3.61926,0.4694
640000,2,18.6922,56.822,1.53073,0.4591
650000,0,6.41757,63.6064,0.129565,0.4352
660000,1,9.48068,32.0813,0.995746,0.442229
670000,4,30.2618,63.842,1.97721,0.451842
680000,2,16.5942,84.1785,1.33391,0.430517
690000,0,5.24712,55.3585,0.664879,0.437233
700000,1,12.3481,71.0699,1.17334,0.4499
710000,0,5.53029,68.2243,1.21526,0.435317
720000,1,9.7208,59.3059,0.200237,0.44545
730000,1,9.11268,68.7468,2.7841,0.4433
740000,3,22.5961,71.9241,2.74384,0.4516
750000,2,14.4201,72.2957,3.77913,0.4385
