generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-71.092,-134.462,1,1
10000,0,6.83013,79.2581,0.286781,0.4708
20000,1,12.5522,89.2529,1.68588,0.430978
30000,1,12.5355,94.7822,1.19577,0.418486
40000,1,12.8311,73.2344,1.03278,0.383967
50000,2,17.0021,83.0751,1.44658,0.4031
60000,1,9.87983,82.0447,1.44141,0.4027
70000,1,13.5206,79.7573,0.612672,0.4014
80000,0,6.23219,73.699,1.2207,0.38835
90000,3,21.6939,84.6362,2.27618,0.3917
100000,2,17.253,87.0012,2.76328,0.395733
110000,2,16.7735,86.0301,2.73235,0.388667
120000,1,11.2138,94.7875,0.10315,0.3876
130000,0,7.59549,88.7127,0.0378319,0.3844
140000,0,7.48786,90.3622,0.155203,0.388325
150000,0,6.66268,82.4381,0.659864,0.399133
160000,2,21.1307,85.3407,1.6364,0.385967
170000,0,7.19874,96.748,0.279253,0.39745
180000,3,27.2018,75.9656,1.33195,0.3808
190000,3,25.4209,85.8102,2.41228,0.3695
200000,1,12.5752,98.9429,0.995347,0.375833
210000,1,12.2575,85.853,1.95024,0.391446
220000,1,14.3267,85.262,0.680265,0.36155
230000,0,7.00537,79.4905,0.445739,0.370667
240000,1,12.4585,95.3049,2.41664,0.3762
250000,0,7.18548,80.3224,0.247032,0.385225
260000,0,6.79935,91.6592,0.413998,0.4031
270000,4,28.0589,91.2133,5.77985,0.4013
280000,2,20.6937,78.7991,2.01134,0.38105
290000,0,6.72703,85.9474,0.458277,0.38974
300000,1,13.5322,85.0057,1.17397,0.389867
310000,1,12.7084,85.2734,0.904104,0.3845
320000,1,12.219,88.532,2.55171,0.3664
330000,3,23.2558,79.6986,2.29319,0.38835
340000,0,7.551,78.3639,0.0824172,0.377
350000,1,14.4318,88.6267,0.182764,0.380133
360000,0,6.41813,64.3152,0.890194,0.382713
370000,0,7.52031,91.5274,0.151474,0.3916
380000,2,18.8698,89.0527,0.984822,0.38425
390000,1,13.7379,99.6942,1.18194,0.3874
400000,0,7.06898,89.7118,0.440533,0.37715
410000,1,11.7026,88.5468,1.65373,0.36215
420000,2,21.9363,91.586,0.131908,0.3786
430000,0,7.47805,85.1893,0.182647,0.374833
440000,0,6.10429,83.9084,1.13329,0.385355
450000,0,7.65347,90.3045,0.0248292,0.37175
460000,0,7.07521,78.8672,0.275371,0.3961
470000,0,4.64828,74.623,0.661475,0.39172
480000,0,7.50808,81.7329,0.0701977,0.38558
490000,0,7.28014,96.1144,0.148546,0.3986
500000,0,7.28598,79.7581,0.331751,0.38932
510000,0,7.20865,88.8009,0.420252,0.3867
520000,1,12.1659,82.6814,0.607985,0.3732
530000,1,13.5888,93.245,0.863399,0.395243
540000,1,11.4677,82.8022,2.26938,0.406714
550000,2,12.9391,69.412,4.35339,0.40345
560000,0,7.56057,95.7044,0.0465989,0.384725
570000,2,19.2872,80.0523,2.20248,0.3683
580000,1,14.0588,83.2979,0.258368,0.3891
590000,0,6.9295,94.7956,0.519955,0.3938
600000,2,20.1067,93.7624,2.84877,0.4038
610000,3,24.5807,82.4069,0.505893,0.391971
620000,0,6.95301,89.349,0.587851,0.3769
630000,0,6.35219,86.558,0.685055,0.40395
640000,2,21.4846,80.9602,0.753984,0.36915
650000,0,7.33826,84.5564,0.329271,0.38125
660000,1,12.1772,90.0783,1.99216,0.39185
670000,0,6.14027,92.0801,0.164654,0.39655
680000,0,5.5724,87.53,0.100677,0.3925
690000,0,5.57355,75.3282,0.731448,0.3871
700000,1,12.1993,81.5916,1.33532,0.4115
710000,0,6.20376,89.7014,0.224861,0.410267
720000,0,6.45165,89.8168,1.11533,0.379175
730000,0,6.58233,95.7556,0.10481,0.396333
740000,0,4.90502,83.9875,1.28477,0.407567
750000,0,6.51052,77.1697,1.02521,0.376422
760000,4,29.9046,95.9117,1.48894,0.3902
770000,1,10.9744,94.4998,0.375783,0.397733
780000,2,19.2962,73.3641,1.29863,0.3931
790000,0,7.68463,89.6034,0.00219881,0.379567
800000,0,5.70759,72.9722,0.884554,0.400675
810000,0,5.49368,73.4211,1.37653,0.4094
820000,0,6.88131,93.2582,0.632291,0.3909
830000,1,11.6498,88.5994,0.489819,0.3763
840000,2,20.9103,98.3373,0.47687,0.3734
850000,0,7.22981,77.2436,0.168344,0.3938
860000,0,7.53998,92.7187,0.139917,0.3929
870000,2,20.7081,91.1112,0.491112,0.3994
880000,2,16.1074,93.5021,3.56387,0.38505
890000,0,6.23992,81.253,0.587965,0.413555
900000,0,6.95931,83.7285,0.254801,0.3958
910000,1,12.3057,83.4462,1.31752,0.38205
920000,1,14.3026,87.2452,1.02718,0.3951
930000,0,7.09539,86.5301,0.25757,0.36898
940000,1,13.1849,89.6226,1.41513,0.391875
950000,3,25.7502,82.1833,1.58809,0.382563
960000,0,7.54516,94.5453,0.107369,0.377367
970000,1,10.6635,86.5839,1.19124,0.3948
980000,1,14.1713,85.5217,0.0552623,0.3951
990000,1,13.4056,91.0829,0.451936,0.3839
1000000,1,11.1877,92.5667,1.92325,0.3719
1010000,3,25.9023,77.2774,2.41095,0.3879
1020000,0,7.23071,80.1336,0.233663,0.386
1030000,0,7.32995,85.8498,0.156169,0.3735
1040000,0,6.94515,76.6256,0.486656,0.3673
1050000,0,5.78896,78.7164,1.71652,0.3938
1060000,1,13.3724,66.3948,0.558572,0.381245
1070000,0,7.45304,87.7668,0.160029,0.3803
1080000,0,7.32963,85.5612,0.28451,0.386121
1090000,0,5.94799,94.1728,0.304449,0.36165
1100000,0,7.07276,81.5757,0.269483,0.3625
1110000,0,7.53611,78.5498,0.023855,0.376467
1120000,2,13.2929,85.5336,1.50894,0.372967
1130000,0,7.39718,82.5356,0.093985,0.366567
1140000,0,7.4147,79.3384,0.200233,0.4141
1150000,2,19.5185,89.0256,1.96541,0.382133
1160000,0,5.62709,86.2002,1.48997,0.393
1170000,4,34.2182,94.9779,0.986473,0.387818
1180000,1,12.4454,96.5064,0.253283,0.376586
1190000,0,6.60326,86.5641,0.414059,0.3759
1200000,0,6.49068,70.84,0.221178,0.384175
1210000,0,7.01976,83.9586,0.194442,0.37305
1220000,1,12.7301,78.1399,0.771549,0.379912
1230000,0,6.20105,84.6226,0.578943,0.38765
1240000,0,6.65467,78.8132,0.421214,0.398
1250000,0,7.22291,89.3713,0.31255,0.37605
1260000,0,6.64864,88.9041,0.291976,0.36905
1270000,0,7.1973,86.456,0.178508,0.371233
1280000,2,21.2819,91.6513,1.67684,0.37025
1290000,0,6.97757,79.9979,0.399519,0.3832
1300000,4,27.5691,85.0912,1.72354,0.381367
1310000,1,14.2306,81.7719,0.545312,0.388233
1320000,0,7.36012,83.4895,0.0400198,0.3849
1330000,0,6.80033,95.9607,0.861415,0.3899
1340000,0,7.36346,86.1506,0.0360479,0.377667
1350000,0,6.2862,78.9627,0.650738,0.3937
1360000,2,18.491,85.5848,1.34725,0.3946
1370000,1,13.0662,87.394,1.3785,0.3906
1380000,0,5.96731,81.0452,1.04374,0.3929
1390000,0,7.17695,95.4855,0.0220087,0.38185
1400000,2,16.2611,88.5028,2.85838,0.4082
1410000,1,14.2748,88.9914,0.686255,0.389367
1420000,0,7.5799,91.7179,0.0902002,0.379583
1430000,0,7.52025,76.4286,0.0575374,0.377967
1440000,2,15.2241,81.1953,5.71684,0.367533
1450000,0,5.68588,90.7154,0.313732,0.377433
1460000,2,20.4952,89.574,0.883476,0.3725
1470000,2,20.9952,91.2593,0.501464,0.383233
1480000,3,25.6205,80.7013,0.93629,0.3704
1490000,0,6.62925,87.9735,0.284501,0.3785
1500000,1,10.8383,89.3839,2.48696,0.3548
1510000,0,5.87237,91.2838,0.96931,0.393612
1520000,0,5.50186,83.6926,1.13261,0.3799
1530000,0,7.19007,68.325,0.102062,0.4112
1540000,0,7.21356,87.2875,0.115074,0.38234
1550000,0,6.78916,77.4472,0.325296,0.4022
1560000,4,30.0075,86.7164,0.632096,0.3721
1570000,0,7.35416,85.7986,0.199596,0.3969
1580000,2,18.8619,85.4215,2.16105,0.3772
1590000,1,10.1915,94.6512,0.476565,0.381245
1600000,0,4.3886,97.5255,0.376292,0.38516
1610000,2,20.7918,92.3445,1.52095,0.3713
1620000,1,14.0568,85.7431,0.893821,0.3831
1630000,0,6.41577,86.0536,0.101466,0.373633
1640000,0,7.34965,80.8598,0.1658,0.38465
1650000,0,7.07897,78.8182,0.374634,0.3964
1660000,0,6.89723,83.2531,0.0559867,0.4253
1670000,0,6.91817,73.5281,0.150672,0.409133
1680000,1,13.4959,81.5183,0.750021,0.390344
1690000,0,7.21516,85.8587,0.258029,0.395867
1700000,0,5.69321,82.3669,0.917302,0.3957
1710000,0,6.38676,82.7679,0.97403,0.38655
1720000,0,7.43204,91.4176,0.0157683,0.3958
1730000,1,14.0092,84.9905,0.904522,0.3844
1740000,0,6.37405,91.6908,0.750504,0.3941
1750000,1,11.9175,89.4185,0.959512,0.4088
1760000,0,6.07277,90.1825,0.907694,0.3833
1770000,0,5.71063,82.9197,1.54012,0.38296
1780000,1,12.3757,79.3734,0.677861,0.39838
1790000,0,6.49392,84.5052,0.228032,0.3901
1800000,0,5.03578,75.6862,0.486874,0.3954
1810000,0,5.91082,82.1519,0.650623,0.40216
1820000,0,5.98461,79.6598,0.402073,0.4159
1830000,2,19.0893,99.6495,0.540005,0.389917
1840000,0,4.99696,89.6905,1.2275,0.40875
1850000,0,5.75541,90.1838,0.726847,0.408233
1860000,4,31.3804,68.7375,1.55543,0.395657
1870000,2,17.0698,88.048,3.23121,0.3897
1880000,1,13.0124,99.153,0.431195,0.4023
1890000,3,25.5825,83.3189,1.60575,0.388633
1900000,2,16.0438,78.727,2.89706,0.4034
1910000,0,5.54903,69.0538,0.350457,0.40818
1920000,0,7.10363,86.5712,0.22171,0.397633
1930000,4,33.0163,85.7831,2.58284,0.3944
1940000,0,5.82618,88.9576,0.0965631,0.40315
1950000,0,5.66269,80.0523,0.336665,0.3962
1960000,3,26.0793,84.2037,2.14318,0.39214
1970000,1,6.18195,77.5118,1.29613,0.4101
1980000,0,5.95503,89.0733,0.011583,0.387
1990000,0,6.95255,83.9195,0.537343,0.387383
2000000,0,7.04814,93.528,0.332842,0.390483
2010000,1,9.01788,92.7979,0.266313,0.3871
2020000,2,17.5366,75.5032,0.884663,0.3868
2030000,0,7.51479,84.9321,0.0820596,0.37785
2040000,1,11.967,88.025,0.752265,0.40695
2050000,0,5.01125,96.0088,2.53217,0.3715
2060000,0,7.44598,89.174,0.146191,0.383
2070000,1,14.1423,79.9452,0.578378,0.38315
2080000,1,12.8683,80.4062,2.35219,0.394042
2090000,1,13.9924,85.0157,0.622281,0.3816
2100000,3,24.1602,96.2941,2.08438,0.390225
2110000,2,19.9589,90.128,1.5622,0.39062
2120000,0,7.4437,81.7168,0.0841292,0.37984
2130000,1,12.9343,72.3777,0.436321,0.374
