"","X","ARIDavg","ARIDmax","ARIDmin","aridSD","NDVIavg","NDVImax","NDVImin","ndviSD","PETavg","PETmax","PETmin","petSD","PRECavg","PRECmax","PRECmin","precSD","SRADavg","SRADmax","SRADmin","sradSD","TAVGavg","tavgSD","TMAXavg","tmaxSD","TMINavg","tminSD","VAPRavg","VAPRmax","VAPRmin","vaprSD","ELEVavg","ELEVmax","ELEVmin","elevSD","WINDavg","WINDmax","WINDmin","windSD"
"Rana_weiningensis","Rana_weiningensis",0.829496367148651,1.15571248531342,0.56360000371933,0.1224481768052,168.013207785642,223.875968992248,112.377906976744,32.6083777363127,1124.71511627907,1413,812,134.828889201415,915.130890052356,1074,805,37.9654779301775,157527.251308901,174857,139382,8152.03219220994,11.9012106247677,5.33928937452554,16.9408762035778,4.83632069225324,6.86173920497642,5.95826089145078,1.05701136581249,1.73499397707235,0.512422902733868,0.455143517563877,2208.25654450262,3157,1321,369.217996006919,2.17860612278417,2.80375130825642,1.84289527938004,0.369495193685062
"Rana_shuchinae","Rana_shuchinae",0.803812124069382,1.33391869068146,0.522449970245361,0.159601935248034,170.553857898095,213.352201257862,113.927672955975,26.1838835331347,1035.04402515723,1254,779,94.8831488505597,816.008403361345,1303,615,136.123852864278,168045.857142857,176538,139173,8762.49513192709,6.56686431949329,5.68319082436876,11.6470579327194,4.97626301716589,1.48678816767887,6.40495337766616,0.75192808104726,1.32248172138919,0.299698949173218,0.387517439261243,3216.17647058824,4497,1437,588.153943976028,2.38864740428804,2.93989075933184,1.97300419587047,0.319905323761921
"Rana_johnsi","Rana_johnsi",1.16256347858356,2.00800609588623,0.545406222343445,0.199396473670962,203.531789179459,229.40828004039,162.029619656681,19.2829391495761,1276.86938225888,1864,832,228.693235727353,1477.65375749193,3053,805,350.039716362741,175634.12724758,232831,121700,26689.5312550768,18.645136446237,5.24541572566489,22.8007485305034,5.0441849521759,14.489503998369,5.45986718731113,1.76130597449785,2.53202701714139,1.02247805469538,0.570597095955383,791.224066390041,1821,235,239.082157812705,1.6493220902179,1.87388749494152,1.4814329158331,0.128899073148101
"Rana_zhengi","Rana_zhengi",1.34749195547331,1.65585625171661,1.20271873474121,0.0935776610685581,195.304908557626,230.261904761905,139.345238095238,25.4629619083809,1133.39285714286,1285,954,55.4693050595244,1512.15625,1661,1209,92.5537714241765,159577.78125,170193,134529,7430.98077030679,16.2603483110045,7.3109986555534,20.1086158789694,7.40035239497243,12.4122044123748,7.22988614065755,1.5744623693948,2.59814532473683,0.692046096548438,0.713005539888494,702.6875,1529,248,260.385376614814,1.88331118567536,2.0652421861887,1.76946873217821,0.0851849240832504
"Rana_asiatica","Rana_asiatica",0.363372736159298,1.03366875648499,0.129487499594688,0.152124297396921,92.4310446222136,156.465814341301,36.6536964980545,37.9846821619366,1053.70555555556,1591,420,255.911080939576,346.748447204969,709,175,106.744059886575,179251.405279503,186742,169370,4785.31790006682,1.09370273897182,10.3772285029036,7.272880819741,10.7215183898253,-5.08547231341821,10.0488783743215,0.489366682154738,0.933080782061038,0.155168633410557,0.277775895473993,2307.51863354037,4355,497,1033.30712394959,2.33853897628207,2.85122398152855,1.81439906284676,0.33459141578647
"Rana_macrocnemis","Rana_macrocnemis",0.577525421545644,1.95592498779297,0.146925002336502,0.318168385391526,134.278070144928,183.11664,59.26608,28.2519458486792,1254.31196787149,2012,615,213.104846203272,686.672888888889,2129,232,288.338838122243,181119.782666667,215143,148944,18294.639430957,9.34997950016261,7.86906999385119,14.5039733857991,8.84828828100906,4.19599019153613,6.89590650212616,0.826139288641788,1.34867576230897,0.407081138193607,0.343471159956383,1120.16444444444,3431,-18,682.372996098944,2.25867627994219,2.47350089184443,1.99344293758604,0.147497297101721
"Rana_graeca","Rana_graeca",0.634313109508263,1.31483745574951,0,0.266783628543298,169.140994894012,205.394226967181,95.3187030446817,23.7235714660661,1215.87954267048,1666,841,156.77550384234,773.959694989107,1631,428,245.610221985235,172729.973856209,191695,156628,8663.55151834305,11.1797505320835,7.03432213733317,16.2464030051725,8.0059955848093,6.11307671539377,6.06826589592306,0.971268392041509,1.44252821958922,0.554731047426174,0.343339059764954,693.102396514161,2026,1,415.473348022258,2.43413742523459,2.79276426152726,2.18523038232249,0.202679454919995
"Rana_latastei","Rana_latastei",0.922512063790103,2.6343686580658,0.108506247401237,0.344282013216505,161.213665660743,211.578406169666,108.285347043702,24.0515773870329,1043.11052631579,1155,885,41.000204578122,989.985507246377,2223,609,304.91992452506,152708.536231884,172289,140179,4768.77061566281,12.4652045303742,7.59524912796746,17.0854531178152,8.2062089751559,7.84488814391431,6.99943038641477,1.13617601614571,1.85993281136388,0.571194709643074,0.490152040085464,146.905797101449,901,-4,186.892837387842,1.38300856497985,1.84261093623396,1.0952792811221,0.249045733087923
"Rana_dalmatina","Rana_dalmatina",0.769085168359009,2.82503128051758,0,0.290240519985829,175.235581546824,210.364572852283,113.600450385703,24.248535086465,1028.90555014606,1736,650,161.874061482591,781.860332225914,2334,153,228.23352753266,152091.904053156,196143,113896,17268.5104812621,10.1251337367341,6.79622523765357,14.7023063861283,7.68790149516633,5.54796444741643,5.91775044760758,0.980834048690722,1.51906135121057,0.55210319393497,0.371016329881197,417.275481727575,2624,-4,356.673040591733,2.81721840086503,3.21939793456828,2.461243188801,0.244795466695045
"Rana_iberica","Rana_iberica",0.947678419038796,1.6530749797821,0.213693767786026,0.337046053937177,185.419915259573,203.040834057341,167.807993049522,7.1811514495152,1224.10008857396,1737,948,174.988276430994,1156.18536585366,1797,351,328.350124389037,173039.985365854,203427,146125,16378.2152242339,12.2939045634938,4.98177192027737,16.9152146427127,5.78150913155916,7.67258862794038,4.19909548229687,1.0417666531857,1.39979631261128,0.752500565241023,0.24601100765122,616.334146341463,1590,38,343.571744079681,3.04205160494742,3.49034474303083,2.61911909115024,0.261099040927773
