"","Species","Genus","phylo_subtree","simpleState","real_reg","ECOTYPE","SVL.max..def.","log_svl"
"Rana_yavapaiensis","Rana_yavapaiensis","Lithobates","AM","MEX","AM","Pond-dwelling",86,4.45434729625351
"Rana_onca","Rana_onca","Lithobates","AM","MEX","AM","Stream-dwelling",89,4.48863636973214
"Rana_magnaocularis","Rana_magnaocularis","Lithobates","AM","MEX","AM","Pond-dwelling",63.5,4.15103990589865
"Rana_omiltemana","Rana_omiltemana","Lithobates","AM","MEX","AM","Pond-dwelling",51.38,3.93924899168174
"Rana_forreri","Rana_forreri","Lithobates","AM","NEO","AM","Pond-dwelling",120,4.78749174278205
"Rana_macroglossa","Rana_macroglossa","Lithobates","AM","NEO","AM","Stream-dwelling",74.03,4.30447041645501
"Rana_berlandieri","Rana_berlandieri","Lithobates","AM","MEX","AM","Stream-dwelling",114,4.7361984483945
"Rana_blairi","Rana_blairi","Lithobates","AM","NAM","AM","Pond-dwelling",111,4.70953020131233
"Rana_sphenocephala","Rana_sphenocephala","Lithobates","AM","NAM","AM","Pond-dwelling",127,4.84418708645859
"Rana_capito","Rana_capito","Lithobates","AM","NAM","AM","Terrestrial",103,4.63472898822964
"Rana_sevosa","Rana_sevosa","Lithobates","AM","NAM","AM","Terrestrial",90.17,4.50169677751182
"Rana_areolata","Rana_areolata","Lithobates","AM","NAM","AM","Terrestrial",92,4.52178857704904
"Rana_palustris","Rana_palustris","Lithobates","AM","NAM","AM","Terrestrial",87,4.46590811865458
"Rana_dunni","Rana_dunni","Lithobates","AM","MEX","AM","Stream-dwelling",97,4.57471097850338
"Rana_montezumae","Rana_montezumae","Lithobates","AM","MEX","AM","Pond-dwelling",116,4.75359019110636
"Rana_chiricahuensis","Rana_chiricahuensis","Lithobates","AM","MEX","AM","Pond-dwelling",137,4.91998092582813
"Rana_pipiens","Rana_pipiens","Lithobates","AM","NAM","AM","Pond-dwelling",111,4.70953020131233
"Rana_tarahumarae","Rana_tarahumarae","Lithobates","AM","MEX","AM","Pond-dwelling",114,4.7361984483945
"Rana_sierramadrensis","Rana_sierramadrensis","Lithobates","AM","MEX","AM","Stream-dwelling",99,4.59511985013459
"Rana_palmipes","Rana_palmipes","Lithobates","AM","NEO","AM","Terrestrial",116.4,4.75703253529734
"Rana_bwana","Rana_bwana","Lithobates","AM","NEO","AM","Stream-dwelling",94.6,4.54965747605783
"Rana_juliani","Rana_juliani","Lithobates","AM","NEO","AM","Stream-dwelling",70,4.24849524204936
"Rana_vaillanti","Rana_vaillanti","Lithobates","AM","NEO","AM","Terrestrial",108.1,4.68305672464516
"Rana_vibicaria","Rana_vibicaria","Lithobates","AM","NEO","AM","Pond-dwelling",76.5,4.33729074083249
"Rana_warszewitschii","Rana_warszewitschii","Lithobates","AM","NEO","AM","Terrestrial",55.5,4.01638302075239
"Rana_maculata","Rana_maculata","Lithobates","AM","NEO","AM","Pond-dwelling",113,4.72738781871234
"Rana_catesbeiana","Rana_catesbeiana","Lithobates","AM","NAM","AM","Pond-dwelling",203,5.31320597904179
"Rana_heckscheri","Rana_heckscheri","Lithobates","AM","NAM","AM","Pond-dwelling",155,5.04342511691925
"Rana_okaloosae","Rana_okaloosae","Lithobates","AM","NAM","AM","Pond-dwelling",49,3.89182029811063
"Rana_clamitans","Rana_clamitans","Lithobates","AM","NAM","AM","Pond-dwelling",101.8,4.62301010411642
"Rana_grylio","Rana_grylio","Lithobates","AM","NAM","AM","Pond-dwelling",162,5.08759633523238
"Rana_septentrionalis","Rana_septentrionalis","Lithobates","AM","NAM","AM","Pond-dwelling",76,4.33073334028633
"Rana_sylvatica","Rana_sylvatica","Lithobates","AM","NAM","AM","Terrestrial",82.5,4.41279829334063
"Rana_longicrus","Rana_longicrus","Rana","EA","AS","EA","Pond-dwelling",55,4.00733318523247
"Rana_omeimontis","Rana_omeimontis","Rana","EA","AS","EA","Terrestrial",70.3,4.25277179881662
"Rana_japonica","Rana_japonica","Rana","EA","AS","EA","Pond-dwelling",51,3.93182563272433
"Rana_tsushimensis","Rana_tsushimensis","Rana","EA","AS","EA","Pond-dwelling",45.45,3.81661282062349
"Rana_coreana","Rana_coreana","Rana","EA","AS","EA","Terrestrial",41,3.71357206670431
"Rana_amurensis","Rana_amurensis","Rana","EA","AS","EA","Pond-dwelling",70.75,4.25915253652335
"Rana_chensinensis","Rana_chensinensis","Rana","EA","AS","EA","Pond-dwelling",49.45,3.90096205806872
"Rana_huanrensis","Rana_huanrensis","Rana","EA","AS","EA","Stream-dwelling",56.1,4.02713581252865
"Rana_kukunoris","Rana_kukunoris","Rana","EA","AS","EA","Stream-dwelling",64.5,4.16666522380173
"Rana_ornativentris","Rana_ornativentris","Rana","EA","AS","EA","Pond-dwelling",69,4.23410650459726
"Rana_pirica","Rana_pirica","Rana","EA","AS","EA","Pond-dwelling",63.5,4.15103990589865
"Rana_dybowskii","Rana_dybowskii","Rana","EA","AS","EA","Pond-dwelling",70.8,4.25985900069967
"Rana_sakuraii","Rana_sakuraii","Rana","EA","AS","EA","Stream-dwelling",58,4.06044301054642
"Rana_tagoi","Rana_tagoi","Rana","EA","AS","EA","Terrestrial",58.1,4.06216566385787
"Rana_sauteri","Rana_sauteri","Rana","EA","AS","EA","Terrestrial",51.15,3.93476249239764
"Rana_pyrenaica","Rana_pyrenaica","Rana","EA","EU","EA","Stream-dwelling",51,3.93182563272433
"Rana_temporaria","Rana_temporaria","Rana","EA","EU","EA","Terrestrial",109,4.69134788222914
"Rana_arvalis","Rana_arvalis","Rana","EA","EU","EA","Pond-dwelling",75,4.31748811353631
"Rana_iberica","Rana_iberica","Rana","EA","EU","EA","Stream-dwelling",48,3.87120101090789
"Rana_dalmatina","Rana_dalmatina","Rana","EA","EU","EA","Terrestrial",85,4.44265125649032
"Rana_latastei","Rana_latastei","Rana","EA","EU","EA","Terrestrial",65,4.17438726989564
"Rana_graeca","Rana_graeca","Rana ","EA","EU","EA","Stream-dwelling",75,4.31748811353631
"Rana_macrocnemis","Rana_macrocnemis","Rana","EA","EU","EA","Pond-dwelling",75,4.31748811353631
"Rana_zhengi","Rana_zhengi","Rana","EA","AS","EA","Stream-dwelling",45.7,3.82209829790016
"Rana_johnsi","Rana_johnsi","Rana","EA","AS","EA","Stream-dwelling",47.2,3.85439389259151
"Rana_shuchinae","Rana_shuchinae","Rana","EA","AS","EA","Pond-dwelling",44.5,3.79548918917219
