"","sp","genus","phylo_reg","state","real_reg","ecotype","clutch_size","SVL","biome"
"Rana_areolata","Rana_areolata","Lithobates","AM","NAM","AM","Terrestrial",4500,92,"Grasslands"
"Rana_berlandieri","Rana_berlandieri","Lithobates","AM","MEX","AM","Stream-dwelling",NA,114,"Desert"
"Rana_blairi","Rana_blairi","Lithobates","AM","NAM","AM","Pond-dwelling",5250,111,"Grasslands"
"Rana_bwana","Rana_bwana","Lithobates","AM","NEO","AM","Stream-dwelling",NA,94.6,"Tropical forest"
"Rana_capito","Rana_capito","Lithobates","AM","NAM","AM","Pond-dwelling",7000,103,"Grasslands"
"Rana_catesbeiana","Rana_catesbeiana","Lithobates","AM","NAM","AM","Pond-dwelling",16750,203,"Temperate Forest"
"Rana_chiricahuensis","Rana_chiricahuensis","Lithobates","AM","MEX","AM","Pond-dwelling",892,137,"Desert"
"Rana_clamitans","Rana_clamitans","Lithobates","AM","NAM","AM","Pond-dwelling",2882.5,101.8,"Temperate Forest"
"Rana_dunni","Rana_dunni","Lithobates","AM","MEX","AM","Stream-dwelling",NA,97,"Tropical forest"
"Rana_forreri","Rana_forreri","Lithobates","AM","NEO","AM","Pond-dwelling",100,120,"Tropical forest"
"Rana_grylio","Rana_grylio","Lithobates","AM","NAM","AM","Pond-dwelling",7504,162,"Grasslands"
"Rana_heckscheri","Rana_heckscheri","Lithobates","AM","NAM","AM","Pond-dwelling",7000,155,"Grasslands"
"Rana_juliani","Rana_juliani","Lithobates","AM","NEO","AM","Stream-dwelling",NA,70,"Tropical forest"
"Rana_macroglossa","Rana_macroglossa","Lithobates","AM","NEO","AM","Stream-dwelling",NA,62.83,"Tropical forest"
"Rana_maculata","Rana_maculata","Lithobates","AM","NEO","AM","Pond-dwelling",NA,97.4,"Tropical forest"
"Rana_magnaocularis","Rana_magnaocularis","Lithobates","AM","MEX","AM","Pond-dwelling",NA,63.5,"Tropical forest"
"Rana_montezumae","Rana_montezumae","Lithobates","AM","MEX","AM","Pond-dwelling",NA,116,"Tropical forest"
"Rana_neovolcanica","Rana_neovolcanica","Lithobates","AM","MEX","AM","Pond-dwelling",NA,71.4,"Tropical forest"
"Rana_okaloosae","Rana_okaloosae","Lithobates","AM","NAM","AM","Pond-dwelling",NA,49,"Grasslands"
"Rana_omiltemana","Rana_omiltemana","Lithobates","AM","MEX","AM","Pond-dwelling",NA,48.54,"Tropical forest"
"Rana_onca","Rana_onca","Lithobates","AM","MEX","AM","Stream-dwelling",200,89,"Desert"
"Rana_palmipes","Rana_palmipes","Lithobates","AM","NEO","AM","Terrestrial",3468,116.4,"Tropical forest"
"Rana_palustris","Rana_palustris","Lithobates","AM","NAM","AM","Pond-dwelling",1616,87,"Temperate Forest"
"Rana_pipiens","Rana_pipiens","Lithobates","AM","NAM","AM","Pond-dwelling",5522.5,111,"Grasslands"
"Rana_pustulosa","Rana_pustulosa","Lithobates","AM","MEX","AM","Stream-dwelling",NA,104.33,"Tropical forest"
"Rana_septentrionalis","Rana_septentrionalis","Lithobates","AM","NAM","AM","Pond-dwelling",1375,76,"Temperate Forest"
"Rana_sevosa","Rana_sevosa","Lithobates","AM","NAM","AM","Terrestrial",3750,77.95,"Grasslands"
"Rana_sierramadrensis","Rana_sierramadrensis","Lithobates","AM","MEX","AM","Stream-dwelling",NA,99,"Tropical forest"
"Rana_spectabilis","Rana_spectabilis","Lithobates","AM","MEX","AM","Terrestrial",NA,67,"Tropical forest"
"Rana_sphenocephala","Rana_sphenocephala","Lithobates","AM","NAM","AM","Pond-dwelling",4750,127,"Grasslands"
"Rana_sylvatica","Rana_sylvatica","Lithobates","AM","NAM","AM","Terrestrial",1750,82.5,"Boreal forest"
"Rana_tarahumarae","Rana_tarahumarae","Lithobates","AM","MEX","AM","Pond-dwelling",2200,114,"Tropical forest"
"Rana_vaillanti","Rana_vaillanti","Lithobates","AM","NEO","AM","Terrestrial",NA,108.1,"Tropical forest"
"Rana_vibicaria","Rana_vibicaria","Lithobates","AM","NEO","AM","Pond-dwelling",NA,76.5,"Tropical forest"
"Rana_warszewitschii","Rana_warszewitschii","Lithobates","AM","NEO","AM","Terrestrial",NA,55.5,"Tropical forest"
"Rana_yavapaiensis","Rana_yavapaiensis","Lithobates","AM","MEX","AM","Pond-dwelling",NA,86,"Desert"
"Rana_zweifeli","Rana_zweifeli","Lithobates","AM","MEX","AM","Pond-dwelling",NA,100.1,"Tropical forest"
"Rana_weiningensis","Rana_weiningensis","Pseudorana","EA","AS","EA","Stream-dwelling",313,39,"Tropical forest"
"Rana_amurensis","Rana_amurensis","Rana","EA","AS","EA","Pond-dwelling",2225,46.9,"Boreal forest"
"Rana_arvalis","Rana_arvalis","Rana","EA","EU","EA","Pond-dwelling",2299.5,75,"Boreal forest"
"Rana_asiatica","Rana_asiatica","Rana","EA","AS","EA","Pond-dwelling",1150,53.6,"Grasslands"
"Rana_aurora","Rana_aurora","Rana","EA","NAM","AM","Pond-dwelling",1725,133,"Temperate Forest"
"Rana_boylii","Rana_boylii","Rana","EA","NAM","AM","Stream-dwelling",590,81,"Temperate Forest"
"Rana_cascadae","Rana_cascadae","Rana","EA","NAM","AM","Stream-dwelling",550,76,"Temperate Forest"
"Rana_chaochiaoensis","Rana_chaochiaoensis","Rana","EA","AS","EA","Terrestrial",1500,53.25,"Tropical forest"
"Rana_chensinensis","Rana_chensinensis","Rana","EA","AS","EA","Pond-dwelling",1082.5,44.95,"Temperate Forest"
"Rana_coreana","Rana_coreana","Rana","EA","AS","EA","Pond-dwelling",NA,41,"Temperate Forest"
"Rana_dalmatina","Rana_dalmatina","Rana","EA","EU","EA","Pond-dwelling",1434,85,"Temperate Forest"
"Rana_dybowskii","Rana_dybowskii","Rana","EA","AS","EA","Pond-dwelling",1550,63.49,"Boreal forest"
"Rana_hanluica","Rana_hanluica","Rana","EA","AS","EA","Pond-dwelling",NA,68.85,"Tropical forest"
"Rana_huanrensis","Rana_huanrensis","Rana","EA","AS","EA","Stream-dwelling",450,44.05,"Temperate Forest"
"Rana_iberica","Rana_iberica","Rana","EA","EU","EA","Stream-dwelling",450,48,"Temperate Forest"
"Rana_japonica","Rana_japonica","Rana","EA","AS","EA","Pond-dwelling",1750,50.9,"Temperate Forest"
"Rana_johnsi","Rana_johnsi","Rana","EA","AS","EA","Stream-dwelling",1550,44.8,"Tropical forest"
"Rana_kukunoris","Rana_kukunoris","Rana","EA","AS","EA","Stream-dwelling",1132.5,59.1,"Grasslands"
"Rana_latastei","Rana_latastei","Rana","EA","EU","EA","Terrestrial",425,65,"Temperate Forest"
"Rana_longicrus","Rana_longicrus","Rana","EA","AS","EA","Pond-dwelling",400,44.7,"Tropical forest"
"Rana_luteiventris","Rana_luteiventris","Rana","EA","NAM","AM","Pond-dwelling",1275,101,"Temperate Forest"
"Rana_macrocnemis","Rana_macrocnemis","Rana","EA","EU","EA","Pond-dwelling",2040,75,"Temperate Forest"
"Rana_muscosa","Rana_muscosa","Rana","EA","NAM","AM","Stream-dwelling",223,89,"Temperate Forest"
"Rana_omeimontis","Rana_omeimontis","Rana","EA","AS","EA","Terrestrial",1550,63.4,"Tropical forest"
"Rana_ornativentris","Rana_ornativentris","Rana","EA","AS","EA","Pond-dwelling",1450,53.9,"Temperate Forest"
"Rana_pirica","Rana_pirica","Rana","EA","AS","EA","Pond-dwelling",900,63.5,"Boreal forest"
"Rana_pyrenaica","Rana_pyrenaica","Rana","EA","EU","EA","Stream-dwelling",150,51,"Temperate Forest"
"Rana_sakuraii","Rana_sakuraii","Rana","EA","AS","EA","Stream-dwelling",130,58,"Temperate Forest"
"Rana_sauteri","Rana_sauteri","Rana","EA","AS","EA","Stream-dwelling",530,47.25,"Tropical forest"
"Rana_shuchinae","Rana_shuchinae","Rana","EA","AS","EA","Pond-dwelling",180,42.2,"Temperate Forest"
"Rana_sierrae","Rana_sierrae","Rana","EA","NAM","AM","Pond-dwelling",225,72,"Temperate Forest"
"Rana_tagoi","Rana_tagoi","Rana","EA","AS","EA","Stream-dwelling",3636,40.15,"Temperate Forest"
"Rana_temporaria","Rana_temporaria","Rana","EA","EU","EA","Terrestrial",2132.5,109,"Temperate Forest"
"Rana_tsushimensis","Rana_tsushimensis","Rana","EA","AS","EA","Pond-dwelling",400,45.45,"Temperate Forest"
"Rana_zhengi","Rana_zhengi","Rana","EA","AS","EA","Stream-dwelling",NA,42,"Tropical forest"
"Rana_zhenhaiensis","Rana_zhenhaiensis","Rana","EA","AS","EA","Pond-dwelling",659.5,47.25,"Tropical forest"
"Rana_graeca","Rana_graeca","Rana ","EA","EU","EA","Stream-dwelling",950,75,"Temperate Forest"
