"","sp","genus","phylo_reg","state","Clutch_size","ecotype","SVL","HL","HW","FL","TL"
"Rana_bwana","Rana_bwana","Lithobates","AM","NEO",NA,"Stream-dwelling"," 94.60","31.70000","32.90000","42.80000","42.80000"
"Rana_catesbeiana","Rana_catesbeiana","Lithobates","AM","NAM","16750.0","Pond-dwelling","203.00",NA,"34.00000","48.20000","40.00000"
"Rana_chiricahuensis","Rana_chiricahuensis","Lithobates","AM","MEX","  892.0","Pond-dwelling","137.00","28.50000","28.00000",NA,"41.30000"
"Rana_clamitans","Rana_clamitans","Lithobates","AM","NAM"," 2882.5","Pond-dwelling","101.80",NA,"30.66667","39.33333","40.66667"
"Rana_dunni","Rana_dunni","Lithobates","AM","MEX",NA,"Stream-dwelling"," 97.00","30.90000","34.00000","52.10000","38.90000"
"Rana_grylio","Rana_grylio","Lithobates","AM","NAM"," 7504.0","Pond-dwelling","162.00",NA,"27.37500","37.50000","34.50000"
"Rana_heckscheri","Rana_heckscheri","Lithobates","AM","NAM"," 7000.0","Pond-dwelling","155.00",NA,"34.33333","40.33333","38.33333"
"Rana_juliani","Rana_juliani","Lithobates","AM","NEO",NA,"Stream-dwelling"," 70.00","26.70000","23.70000","35.30000","40.80000"
"Rana_magnaocularis","Rana_magnaocularis","Lithobates","AM","MEX",NA,"Pond-dwelling"," 63.50","21.00000","20.80000",NA,"33.50000"
"Rana_montezumae","Rana_montezumae","Lithobates","AM","MEX",NA,"Pond-dwelling","116.00",NA,"35.90000","55.50000","45.10000"
"Rana_neovolcanica","Rana_neovolcanica","Lithobates","AM","MEX",NA,"Pond-dwelling"," 71.40","24.50000","23.50000","42.50000","42.00000"
"Rana_okaloosae","Rana_okaloosae","Lithobates","AM","NAM",NA,"Pond-dwelling"," 49.00","17.50000","15.40000","23.00000",NA
"Rana_palmipes","Rana_palmipes","Lithobates","AM","NEO"," 3468.0","Terrestrial","116.40","35.70000","35.80000","49.20000","47.30000"
"Rana_palustris","Rana_palustris","Lithobates","AM","NAM"," 1616.0","Pond-dwelling"," 87.00","17.42000","17.41000","44.28000","30.91000"
"Rana_pipiens","Rana_pipiens","Lithobates","AM","NAM"," 5522.5","Pond-dwelling","111.00","18.26000","18.66000","50.65000","34.89000"
"Rana_pustulosa","Rana_pustulosa","Lithobates","AM","MEX",NA,"Stream-dwelling","104.33","25.38000","27.31000",NA,NA
"Rana_septentrionalis","Rana_septentrionalis","Lithobates","AM","NAM"," 1375.0","Pond-dwelling"," 76.00",NA,"23.00000","32.00000","29.00000"
