"","sp","genus","phylo_reg","state","Clutch_size","ecotype","SVL","HL","HW","FL","TL","log_svl","phylores_HL","phylores_HW","phylores_FL","phylores_TL"
"Rana_yavapaiensis","Rana_yavapaiensis","Lithobates","AM","MEX",NA,"Pond-dwelling"," 86.00","21.70000","20.35000",NA,"31.80000",4.45434729625351,0.122212249126443,-0.0197023391804207,NA,0.0417849271924604
"Rana_magnaocularis","Rana_magnaocularis","Lithobates","AM","MEX"," 1568.0","Pond-dwelling"," 63.50","21.00000","20.80000",NA,"33.50000",4.15103990589865,0.176236958098568,0.16685593144841,NA,0.190434551459946
"Rana_neovolcanica","Rana_neovolcanica","Lithobates","AM","MEX",NA,"Pond-dwelling"," 71.40","24.50000","23.50000","42.50000","42.00000",4.26829786934554,0.296825332754229,0.225236048369172,0.319399310614718,0.37922479968018
"Rana_sphenocephala","Rana_sphenocephala","Lithobates","AM","NAM"," 4750.0","Pond-dwelling","127.00","19.92000","18.09000","49.73000","33.60000",4.84418708645859,-0.0749581339038614,-0.349094468325438,0.153288454769092,-0.0272769457984023
"Rana_spectabilis","Rana_spectabilis","Lithobates","AM","MEX",NA,"Terrestrial"," 67.00","21.10000","23.70000","36.70000","35.60000",4.20469261939097,0.165630746781769,0.268246288344444,0.208370141337208,0.234152186053274
"Rana_sevosa","Rana_sevosa","Lithobates","AM","NAM"," 3750.0","Terrestrial"," 77.95","28.50000","35.00000","60.00000","37.50000",4.35606759550379,0.422934304384736,0.575927539310366,0.614979445098182,0.237950985323264
"Rana_palustris","Rana_palustris","Lithobates","AM","NAM"," 1616.0","Terrestrial"," 87.00","17.42000","17.41000","44.28000","30.91000",4.46590811865458,-0.100790050642344,-0.182015653475074,0.24952050644094,0.00971752671776693
"Rana_dunni","Rana_dunni","Lithobates","AM","MEX",NA,"Stream-dwelling"," 97.00","30.90000","34.00000","52.10000","38.90000",4.57471097850338,0.441204929118264,0.428223650213911,0.351087246800733,0.204990122532624
"Rana_montezumae","Rana_montezumae","Lithobates","AM","MEX",NA,"Pond-dwelling","116.00",NA,"35.90000","55.50000","45.10000",4.75359019110636,NA,0.385474739457137,0.31391019020332,0.295924509247284
"Rana_chiricahuensis","Rana_chiricahuensis","Lithobates","AM","MEX","  892.0","Pond-dwelling","137.00","28.50000","28.00000",NA,"41.30000",4.91998092582813,0.261527516083748,0.0465971158955418,NA,0.154927377928045
"Rana_pipiens","Rana_pipiens","Lithobates","AM","NAM"," 5522.5","Pond-dwelling","111.00","18.26000","18.66000","50.65000","34.89000",4.70953020131233,-0.123427177904889,-0.244957197723239,0.247194865106416,0.0532708413083345
"Rana_zweifeli","Rana_zweifeli","Lithobates","AM","MEX",NA,"Pond-dwelling","100.10","33.80000","38.20000","67.00000","47.50000",4.60616968632117,0.521905240268478,0.527617570717555,0.584958863547194,0.394709399827469
"Rana_tarahumarae","Rana_tarahumarae","Lithobates","AM","MEX"," 2200.0","Pond-dwelling","114.00","20.95652","22.66522",NA,NA,4.7361984483945,0.00667661015802024,-0.0649878059874065,NA,NA
"Rana_pustulosa","Rana_pustulosa","Lithobates","AM","MEX",NA,"Stream-dwelling","104.33","25.38000","27.31000",NA,NA,4.64755895247988,0.223559206324762,0.169561945067164,NA,NA
"Rana_sierramadrensis","Rana_sierramadrensis","Lithobates","AM","MEX",NA,"Stream-dwelling"," 99.00","28.50000","25.20000","55.00000","44.50000",4.59511985013459,0.354511278041529,0.117625756664705,0.393801098709092,0.332987051157624
"Rana_palmipes","Rana_palmipes","Lithobates","AM","NEO"," 3468.0","Terrestrial","116.40","35.70000","35.80000","49.20000","47.30000",4.75703253529734,0.533414221596645,0.380816254757304,0.191488793234546,0.342456545330248
"Rana_bwana","Rana_bwana","Lithobates","AM","NEO",NA,"Stream-dwelling"," 94.60","31.70000","32.90000","42.80000","42.80000",4.54965747605783,0.473936395727302,0.408939032550215,0.168521562700832,0.308510795088201
"Rana_juliani","Rana_juliani","Lithobates","AM","NEO",NA,"Stream-dwelling"," 70.00","26.70000","23.70000","35.30000","40.80000",4.24849524204936,0.388483812025074,0.244462867559085,0.144892331366578,0.356542249726008
"Rana_vaillanti","Rana_vaillanti","Lithobates","AM","NEO"," 1000.0","Terrestrial","108.10","35.10000","34.00000","49.20000","49.80000",4.68305672464516,0.537638480902082,0.369395381165052,0.23300737392896,0.41751449836239
"Rana_vibicaria","Rana_vibicaria","Lithobates","AM","NEO",NA,"Pond-dwelling"," 76.50","19.00000","20.00000",NA,"26.00000",4.33729074083249,0.0228436246575163,0.0265069819015649,NA,-0.122315019930428
"Rana_warszewitschii","Rana_warszewitschii","Lithobates","AM","NEO",NA,"Terrestrial"," 55.50","21.11500","16.48000","21.63000",NA,4.01638302075239,0.220240541749654,0.00716484381266858,-0.214637484735147,NA
"Rana_catesbeiana","Rana_catesbeiana","Lithobates","AM","NAM","16750.0","Pond-dwelling","203.00",NA,"34.00000","48.20000","40.00000",5.31320597904179,NA,0.0272445243139408,-0.141195575470185,-0.0022551568456195
"Rana_heckscheri","Rana_heckscheri","Lithobates","AM","NAM"," 7000.0","Pond-dwelling","155.00",NA,"34.33333","40.33333","38.33333",5.04342511691925,NA,0.183482967251672,-0.167963164380537,0.0410810575714633
"Rana_okaloosae","Rana_okaloosae","Lithobates","AM","NAM","  350.0","Pond-dwelling"," 49.00","17.50000","15.40000","23.00000",NA,3.89182029811063,0.0681108531724415,0.0070183964909929,-0.0833142582995712,NA
"Rana_clamitans","Rana_clamitans","Lithobates","AM","NAM"," 2882.5","Pond-dwelling","101.80",NA,"30.66667","39.33333","40.66667",4.62301010411642,NA,0.298814644840449,0.0428868888113376,0.234026682033545
"Rana_grylio","Rana_grylio","Lithobates","AM","NAM"," 7504.0","Pond-dwelling","162.00",NA,"27.37500","37.50000","34.50000",5.08759633523238,NA,-0.0669870035028781,-0.265591297139533,-0.0783431087086344
"Rana_septentrionalis","Rana_septentrionalis","Lithobates","AM","NAM"," 1375.0","Pond-dwelling"," 76.00",NA,"23.00000","32.00000","29.00000",4.33073334028633,NA,0.169829382691822,0.000589518938825417,-0.011027907796509
"Rana_zhenhaiensis","Rana_zhenhaiensis","Rana","EA","AS","  659.5","Pond-dwelling"," 47.25","12.88000","13.08000","24.71000","24.90000",3.85545265393975,-0.228004933285173,-0.1365183012362,0.0088107174218619,-0.0121306346191257
"Rana_longicrus","Rana_longicrus","Rana","EA","AS","  400.0","Pond-dwelling"," 44.70","13.00000","11.60000",NA,"24.10000",3.79997350161952,-0.202851707718853,-0.226474146845784,NA,-0.0271225106804169
"Rana_hanluica","Rana_hanluica","Rana","EA","AS",NA,"Pond-dwelling"," 68.85","18.54000","18.62000","33.06000","38.43000",4.23193022517466,0.0284921491369028,0.0122183647313188,0.0886304987272895,0.301972732384071
"Rana_omeimontis","Rana_omeimontis","Rana","EA","AS"," 1550.0","Terrestrial"," 63.40","17.57000","17.76000","33.05000","36.60000",4.14946386144318,-0.00164147215825405,0.00970742395225654,0.134611836870637,0.279439152091844
"Rana_chaochiaoensis","Rana_chaochiaoensis","Rana","EA","AS"," 1500.0","Terrestrial"," 53.25","15.84000","16.50000","28.47000","31.39000",3.97499780458953,-0.0553592257240441,0.0308485467433575,0.0833594372533515,0.18142878071661
"Rana_coreana","Rana_coreana","Rana","EA","AS",NA,"Terrestrial"," 41.00","12.59000","12.53000","25.18000","21.19000",3.71357206670431,-0.210167859878915,-0.102440264960616,0.107282547707264,-0.128295502059098
"Rana_amurensis","Rana_amurensis","Rana","EA","AS"," 2225.0","Pond-dwelling"," 46.90","18.80000","18.70000","32.30000","28.90000",3.84801767545223,0.152304301759755,0.224957831717309,0.280842774849246,0.139210390497488
"Rana_chensinensis","Rana_chensinensis","Rana","EA","AS"," 1082.5","Pond-dwelling"," 44.95","15.70000","15.90000","27.90000","26.00000",3.80555076091763,-0.015736710745724,0.0858115911495889,0.158236592306662,0.0469864352538747
"Rana_huanrensis","Rana_huanrensis","Rana","EA","AS","  450.0","Stream-dwelling"," 44.05","14.00000","15.30000","23.20000","24.20000",3.78532535238219,-0.12455105098789,0.0583270591888785,-0.0148864010953615,-0.01831787276048
"Rana_kukunoris","Rana_kukunoris","Rana","EA","AS"," 1132.5","Stream-dwelling"," 59.10","17.50000","18.20000","31.00000","26.80000",4.07923092441205,0.0144690155741145,0.0723145152045923,0.109995385288814,-0.00984563520199622
"Rana_ornativentris","Rana_ornativentris","Rana","EA","AS"," 1450.0","Pond-dwelling"," 53.90","17.78040","17.78040","28.55640","31.25040",3.98713047791495,0.0567264255275632,0.0989972399398753,0.0795802084262736,0.173108646694317
"Rana_pirica","Rana_pirica","Rana","EA","AS","  900.0","Pond-dwelling"," 63.50","16.65320","17.72760","26.32280","26.86000",4.15103990589865,-0.0556830894727631,0.00702569187456303,-0.0938587932918211,-0.0304726962759831
"Rana_dybowskii","Rana_dybowskii","Rana","EA","AS"," 1550.0","Pond-dwelling"," 63.49","18.82700","19.22040","34.00100","30.23560",4.15088241318236,0.067051608664634,0.0879606732205525,0.162184050935661,0.0879592950401387
"Rana_sakuraii","Rana_sakuraii","Rana","EA","AS","  130.0","Stream-dwelling"," 58.00","16.51644","15.75552","26.22936","24.61800",4.06044301054642,-0.0379980230407586,-0.0617150635036321,-0.0465677956223067,-0.0887877291767585
"Rana_tagoi","Rana_tagoi","Rana","EA","AS"," 3636.0","Terrestrial"," 40.15","15.95028","15.77596","23.53320","23.22814",3.69262244039277,0.0324020086233232,0.139296204409032,0.0514025898053063,-0.0297902180577463
"Rana_sauteri","Rana_sauteri","Rana","EA","AS","  530.0","Terrestrial"," 47.25","15.10000","13.00000","21.50000","23.60000",3.85545265393975,-0.0689859101405017,-0.142653289803716,-0.13034436744504,-0.065751726058223
"Rana_temporaria","Rana_temporaria","Rana","EA","EU"," 2132.5","Terrestrial","109.00","16.90000","15.50000","29.56667",NA,4.69134788222914,-0.195622174443532,-0.420626952467634,-0.280891909929296,NA
"Rana_arvalis","Rana_arvalis","Rana","EA","EU"," 2299.5","Pond-dwelling"," 75.00","16.70000","17.10000","25.20000","22.00000",4.31748811353631,-0.100518603670891,-0.119394635944872,-0.230868567249674,-0.283064117674513
"Rana_macrocnemis","Rana_macrocnemis","Rana","EA","EU"," 2040.0","Pond-dwelling"," 75.00","17.53000","19.89000",NA,"31.34000",4.31748811353631,-0.0520136241604576,0.0317439934123946,NA,0.0707886658950456
"Rana_asiatica","Rana_asiatica","Rana","EA","AS"," 1150.0","Pond-dwelling"," 53.60","19.70000","18.20000","31.50000","26.10000",3.98154906807676,0.160845880164005,0.125352633730862,0.180819215541732,-0.00521114199053008
"Rana_zhengi","Rana_zhengi","Rana","EA","AS",NA,"Stream-dwelling"," 42.00","14.20000","14.10000","23.70000","25.40000",3.73766961828337,-0.0967260947419701,0.00252456502880083,0.033182928151446,0.0452518456610078
"Rana_johnsi","Rana_johnsi","Rana","EA","AS"," 1550.0","Stream-dwelling"," 44.80","15.80000","14.50000","24.00000","27.90000",3.80220813942094,-0.0084307371075818,-0.00454393226596261,0.00953976464219508,0.11858084811428
