Species;Genus;SVL;HL;HW;ED;TD;ETD;IOD;IND;UEW;EN;SL;NS;HAL;FLL;LAL;FL;TFL;TL;THL;TSL;HLL
Rana_areolata;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_berlandieri;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_blairi;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_bwana;Lithobates;83.1;31.7;32.9;2.8;7.4;NA;6.3;7.2;NA;7.7;NA;NA;NA;NA;NA;42.8;66;42.8;NA;23.2;NA
Rana_capito;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_catesbeiana;Lithobates;85;NA;34;9;9;NA;19.6;7.2;48.2;NA;13.2;NA;NA;NA;NA;48.2;NA;40;NA;NA;116.8
Rana_chiricahuensis;Lithobates;73.3;28.5;28;NA;6.8;NA;NA;4.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;41.3;NA;NA;NA
Rana_clamitans;Lithobates;77.66666667;NA;30.66666667;9;12;NA;15.5;6.666666667;39.33333333;NA;12.33333333;NA;NA;NA;NA;39.33333333;NA;40.66666667;NA;NA;114.3333333
Rana_dunni;Lithobates;97;30.9;34;9.2;7.5;NA;4.2;NA;NA;NA;NA;NA;NA;NA;NA;52.1;NA;38.9;NA;NA;NA
Rana_forreri;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_grylio;Lithobates;69.5;NA;27.375;8.25;10;NA;13.125;5.625;37.5;NA;11.25;NA;NA;NA;NA;37.5;NA;34.5;NA;NA;106
Rana_heckscheri;Lithobates;77.66666667;NA;34.33333333;8.666666667;10;NA;18.16666667;6.5;40.33333333;NA;13.33333333;NA;NA;NA;NA;40.33333333;NA;38.33333333;NA;NA;112
Rana_juliani;Lithobates;69.8;26.7;23.7;NA;7;1.9;5.3;6.1;NA;7;NA;NA;NA;NA;NA;35.3;56.3;40.8;NA;21;NA
Rana_macroglossa;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_maculata;Lithobates;;;;;;;;;;;;;;;;;;;;;
Rana_magnaocularis;Lithobates;57.6;21;20.8;5.6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33.5;NA;NA;NA
