sp_lin;Boreal.Forests.Taiga;Deserts...Xeric.Shrublands;Flooded.Grasslands...Savannas;Mangroves;Mediterranean.Forests..Woodlands...Scrub;Montane.Grasslands...Shrublands;N.A;Temperate.Broadleaf...Mixed.Forests;Temperate.Conifer.Forests;Temperate.Grasslands..Savannas...Shrublands;Tropical...Subtropical.Coniferous.Forests;Tropical...Subtropical.Dry.Broadleaf.Forests;Tropical...Subtropical.Grasslands..Savannas...Shrublands;Tropical...Subtropical.Moist.Broadleaf.Forests;Tundra;s.biom;general_biome
Rana_sylvatica;51.723;0.19;0;0;0;0;0.438;17.096;5.792;8.249;0;0;0;0;16.513;Boreal Forests/Taiga;Boreal forest
Rana_berlandieri;0;60.85;0;0.293;0;0;0;1.974;0.057;15.256;7.914;0.255;4.907;8.495;0;Deserts & xeric shrublands;Desert
Rana_chiricahuensis;0;49.928;0;0;0;0;0;0;27.204;1.184;20.778;0.906;0;0;0;Deserts & xeric shrublands;Desert
Rana_onca;0;98.286;0;0;0;0;0;0;1.714;0;0;0;0;0;0;Deserts & xeric shrublands;Desert
Rana_yavapaiensis;0;59.562;0;0;0;0;0;0;30.846;0;8.785;0.806;0;0;0;Deserts & xeric shrublands;Desert
Rana_catesbeiana;0;3.497;0.031;0.06;0;0;0;46.565;4.167;43.139;0.197;0;1.517;0.827;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_clamitans;4.853;0;0;0.003;0;0;0;66.178;3.864;24.249;0;0;0.853;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_palustris;0;0;0;0;0;0;0;75.33;4.887;18.995;0;0;0.787;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_septentrionalis;47.564;0;0;0;0;0;0;52.335;0;0.101;0;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_areolata;0;0;0;0;0;0;0;36.125;3.569;55.261;0;0;5.045;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_blairi;0;4.712;0;0;0;0;0;4.118;3.298;87.803;0.068;0;0;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_capito;0;0;0.054;0.124;0;0;0;0.536;0;99.286;0;0;0;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_grylio;0;0;5.256;0.839;0;0;0;6.713;7.369;74.279;0;0;5.544;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_heckscheri;0;0;0;0.06;0;0;0;1.357;0;98.584;0;0;0;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_okaloosae;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_pipiens;22.631;13.629;0;0;0.051;0;0;27.031;7.88;28.764;0.015;0;0;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_sevosa;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_sphenocephala;0;0;1.051;0.167;0;0;0;40.198;9.303;46.814;0;0;2.467;0;0;Temperate grasslands-savannas-shrublands;Temperate grassland
Rana_dunni;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_macroglossa;0;1.974;0;0;0;0;0;0;0;0;93.559;2.948;0;1.518;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_maculata;0;0.268;0;0.001;0;0;0;0;0;0;52.144;16.064;0;31.523;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_montezumae;0;35.526;0;0;0;0;0;0;0;0;42.736;21.674;0;0.064;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_omiltemana;0;0;0;0;0;0;0;0;0;0;55.042;44.958;0;0;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_psilonota;0;12.624;0;0;0;0;0;0;0;0;54.467;32.909;0;0;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_sierramadrensis;0;0;0;0;0;0;0;0;0;0;59.919;40.081;0;0;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_spectabilis;0;18.903;0;0;0;0;0;0;0;0;54.337;17.755;0;9.004;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_tarahumarae;0;9.853;0;0;0;0;0;0;0;0;65.765;24.382;0;0;0;Tropical & Subtropical Coniferous Forests;Tropical coniferous forest
Rana_bwana;0;0;0.11;0;0;0;0;0;0;0;0;53.778;0;46.112;0;Tropical & Subtropical dry broadleaf forests;Tropical dry forest
Rana_forreri;0;10.082;0;5.025;0;0;0;0;0;0;14.056;69.019;0;1.819;0;Tropical & Subtropical dry broadleaf forests;Tropical dry forest
Rana_magnaocularis;0;5.866;0;1.586;0;0;0;0;0;0;38.482;54.066;0;0;0;Tropical & Subtropical dry broadleaf forests;Tropical dry forest
Rana_neovolcanica;0;15.484;0;0;0;0;0;0;0;0;36.808;46.931;0;0.777;0;Tropical & Subtropical dry broadleaf forests;Tropical dry forest
Rana_pustulosa;0;0;0;0.239;0;0;0;0;0;0;49.748;50.013;0;0;0;Tropical & Subtropical dry broadleaf forests;Tropical dry forest
Rana_zweifeli;0;0.629;0;0.021;0;0;0;0;0;0;47.759;51.591;0;0;0;Tropical & Subtropical dry broadleaf forests;Tropical dry forest
