sp_lin;Boreal.Forests.Taiga;Deserts...Xeric.Shrublands;Flooded.Grasslands...Savannas;Mediterranean Forests-Woodlands-Scrub;Montane.Grasslands...Shrublands;N.A;Temperate.Broadleaf...Mixed.Forests;Temperate.Conifer.Forests;Temperate.Grasslands..Savannas...Shrublands;Tropical...Subtropical.Dry.Broadleaf.Forests;Tropical...Subtropical.Moist.Broadleaf.Forests;Tundra;Biome;general_biome
Rana_amurensis;66.145;0;1.791;0;0.007;0;11.54;3.599;8.315;0;0;8.603;Boreal Forests/taiga;Boreal forest
Rana_arvalis;47.715;0.751;0;0;0.962;0;28.48;3.495;15.763;0;0;2.834;Boreal Forests/Taiga;Boreal forest
Rana_dybowskii;60.996;0;4.58;0;0;0;24.511;2.326;0;0;0;7.587;Boreal Forests/Taiga;Boreal forest
Rana_pirica;44.085;0;0;0;0;0;27.862;28.053;0;0;0;0;Boreal Forests/Taiga;Boreal forest
Rana_graeca;0;0;0;54.815;0;0;45.185;0;0;0;0;0;Mediterranean Forests-Woodlands-Scrub;Mediterranean forest
Rana_muscosa;0;6.249;0;52.927;0;0;0;40.824;0;0;0;0;Mediterranean Forests-Woodlands-Scrub;Mediterranean forest
Rana_asiatica;0;1.123;0;0;55;0;0;6.644;37.233;0;0;0;Montane Grasslands & Shrublands;Montane grasslands
Rana_kukunoris;0;23.483;0;0;55.535;0;5.16;15.822;0;0;0;0;Montane Grasslands & Shrublands;Montane grasslands
Rana_chensinensis;0.017;1.82;3.887;0;6.681;0;59.166;6.773;20.5;0;1.155;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_coreana;0;0;0;0;0;0;100;0;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_dalmatina;0;0;0;16.401;0;0;76.17;6.859;0.57;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_huanrensis;0;0;0;0;0;0;100;0;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_iberica;0;0;0;41.929;0;0;58.071;0;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_japonica;0;0;0;0;0;0;97.463;2.381;0;0;0.156;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_latastei;0;0;0;6.733;0;0;77.993;15.273;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_macrocnemis;0;6.825;0;13.383;0;0;49.714;18.184;11.894;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_ornativentris;0;0;0;0;0;0;96.676;3.324;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_pyrenaica;0;0;0;0;0;0;100;0;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_sakuraii;0;0;0;0;0;0;90.898;9.102;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_tagoi;0;0;0;0;0;0;96.577;3.279;0;0;0.144;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_temporaria;40.346;0;0;0.792;0;0;44.61;3.209;5.076;0;0;5.967;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_tsushimensis;0;0;0;0;0;0;100;0;0;0;0;0;Temperate Broadleaf & Mixed Forests;Temperate broadleaf forest
Rana_aurora;0;0;0;0;0;0.389;0;93.002;6.608;0;0;0;Temperate Conifer Forests;Temperate conifer forest
Rana_boylii;0;1.333;0;22.913;0;0;0;63.904;11.849;0;0;0;Temperate Conifer Forests;Temperate conifer forest
Rana_cascadae;0;1.453;0;1.996;0;0;0;91.972;4.579;0;0;0;Temperate Conifer Forests;Temperate conifer forest
Rana_luteiventris;6.569;22.295;0;0;0;1.051;0;57.091;10.451;0;0;2.543;Temperate Conifer Forests;Temperate conifer forest
Rana_shuchinae;0;0;0;0;1.273;0;0;98.271;0;0;0.457;0;Temperate Conifer Forests;Temperate conifer forest
Rana_sierrae;0;0.142;0;0;0;0;0;99.858;0;0;0;0;Temperate Conifer Forests;Temperate conifer forest
Rana_weiningensis;0;0;0;0;0;0;0;19.456;0;0;80.544;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_chaochiaoensis;0;0;0;0;1.638;0;0;24.845;0;0;73.517;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_hanluica;0;0;0;0;0;0;5.148;0;0;0;94.852;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_johnsi;0;0;0;0;0;0;5.502;1.419;0;4.235;88.845;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_longicrus;0;0;0;0;0;0;0;0;0;0;100;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_omeimontis;0;0;0;0;1.846;0;44.229;8.2;0;0;45.725;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_zhengi;0;0;0;0;0;0;1.231;1.79;0;0;96.979;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_sauteri;0;0;0;0;0;0;0;0;0;0;100;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
Rana_zhenhaiensis;0;0;0.016;0;0;0;37.123;0;0;0;62.861;0;Tropical & Subtropical Moist Broadleaf Forests;Tropical moist forest
