"","sp_lin","s.biom","general_biome","new_biome"
"Rana_weiningensis","Rana_weiningensis","Tropical & Subtropical Moist Broadleaf Forests","Tropical moist forest","Tropical forest"
"Rana_shuchinae","Rana_shuchinae","Temperate Conifer Forests","Temperate conifer forest","Temperate Forest"
"Rana_luteiventris","Rana_luteiventris","Temperate Conifer Forests","Temperate conifer forest","Temperate Forest"
"Rana_boylii","Rana_boylii","Temperate Conifer Forests","Temperate conifer forest","Temperate Forest"
"Rana_sierrae","Rana_sierrae","Temperate Conifer Forests","Temperate conifer forest","Temperate Forest"
"Rana_muscosa","Rana_muscosa","Mediterranean Forests-Woodlands-Scrub","Mediterranean forest","Temperate Forest"
"Rana_aurora","Rana_aurora","Temperate Conifer Forests","Temperate conifer forest","Temperate Forest"
"Rana_cascadae","Rana_cascadae","Temperate Conifer Forests","Temperate conifer forest","Temperate Forest"
"Rana_johnsi","Rana_johnsi","Tropical & Subtropical Moist Broadleaf Forests","Tropical moist forest","Tropical forest"
"Rana_zhengi","Rana_zhengi","Tropical & Subtropical Moist Broadleaf Forests","Tropical moist forest","Tropical forest"
"Rana_asiatica","Rana_asiatica","Montane Grasslands & Shrublands","Montane grasslands","Grasslands"
"Rana_macrocnemis","Rana_macrocnemis","Temperate Broadleaf & Mixed Forests","Temperate broadleaf forest","Temperate Forest"
"Rana_graeca","Rana_graeca","Mediterranean Forests-Woodlands-Scrub","Mediterranean forest","Temperate Forest"
"Rana_latastei","Rana_latastei","Temperate Broadleaf & Mixed Forests","Temperate broadleaf forest","Temperate Forest"
"Rana_dalmatina","Rana_dalmatina","Temperate Broadleaf & Mixed Forests","Temperate broadleaf forest","Temperate Forest"
"Rana_iberica","Rana_iberica","Temperate Broadleaf & Mixed Forests","Temperate broadleaf forest","Temperate Forest"
"Rana_arvalis","Rana_arvalis","Boreal Forests/Taiga","Boreal forest","Boreal forest"
"Rana_temporaria","Rana_temporaria","Temperate Broadleaf & Mixed Forests","Temperate broadleaf forest","Temperate Forest"
"Rana_pyrenaica","Rana_pyrenaica","Temperate Broadleaf & Mixed Forests","Temperate broadleaf forest","Temperate Forest"
