;ARIDavg;ARIDmax;ARIDmin;ARIDsd;NDVIavg;NDVImax;NDVImin;NDVIsd;PETavg;PETmax;PETmin;PETsd;PRECavg;PRECmax;PRECmin;PRECsd;SRADavg;SRADmax;SRADmin;SRADsd;TAVGavg;TAVGsd;TMAXavg;TMAXsd;TMINavg;TMINsd;VAPRavg;VAPRmax;VAPRmin;VAPRsd;ELEVavg;ELEVmax;ELEVmin;ELEVsd;WINDavg;WINDmax;WINDmin;WINDsd
Rana_weiningensis;0.833193184;1.217599988;0.491400003;0.138888157;151.4941176;201;102;22.68606848;1120.143939;1469;769;151.7572958;915.1308901;1074;805;37.96547793;157527.2513;174857;139382;8152.032192;11.90121062;5.339289375;16.9408762;4.836320692;6.861739205;5.958260891;1.057011366;1.734993977;0.512422903;0.455143518;2208.256545;3157;1321;369.217996;2.178606123;2.803751308;1.842895279;0.369495194
Rana_amurensis;0.644521038;1.712499976;0;0.201688938;51.83550975;255;1;58.28826101;706.4672453;1449;326;158.7793987;446.7147162;1101;186;143.9098084;132689.1181;183218;100242;17017.7442;-5.509143684;16.46015055;0.44846408;16.82450287;-11.46675115;16.12911024;0.474511153;1.291962439;0.05964324;0.445038157;522.6999638;2271;2;407.0700482;2.190157506;2.732243085;1.85603907;0.288583622
Rana_arvalis;0.752803359;2.344700098;0;0.239048957;66.38864249;255;1;58.20190521;758.653106;1680;308;168.791218;538.8389036;1762;129;120.4656252;123103.0288;179311;93584;16313.88978;1.451042029;11.48897763;6.158665107;12.15964597;-3.256577245;10.84423521;0.633303445;1.352315849;0.199649804;0.408999711;237.2357362;3154;-5;327.6779705;3.02190831;3.299729989;2.539345261;0.261808717
Rana_asiatica;0.36;0.984200001;0.1259;0.174656853;37.53793103;255;13;50.2775715;1058.126667;1594;440;277.3724703;346.7484472;709;175;106.7440599;179251.4053;186742;169370;4785.3179;1.093702739;10.3772285;7.27288082;10.72151839;-5.085472313;10.04887837;0.489366682;0.933080782;0.155168633;0.277775895;2307.518634;4355;497;1033.307124;2.338538976;2.851223982;1.814399063;0.334591416
Rana_aurora;1.978258869;4.493899822;0;0.929827312;184.9927184;255;6;66.24052938;986.6666667;1630;605;213.5538474;1838.94765;3414;515;572.6936283;146493.89;188864;122445;16833.09039;8.277720463;5.085261393;13.29586856;6.273616115;3.259553333;3.919326024;0.827206022;1.17133397;0.582497878;0.222478176;587.5363248;2018;5;410.4750642;3.076654301;3.343443627;2.668816169;0.230324525
Rana_boylii;0.71686911;2.194299936;0;0.455106692;166.3934837;255;20;62.68785283;1550.628713;2716;1013;298.1079439;1041.478747;2257;151;469.5505166;191240.1174;231006;150822;18332.46398;11.44822958;5.66587578;18.45786773;7.180448459;4.438672316;4.167699805;0.823004581;1.09154221;0.623949385;0.167318746;821.6979866;3429;-2;698.9852751;3.153882721;3.553702508;2.734958059;0.296912665
Rana_cascadae;1.383630532;4.061600208;0.152700007;0.891306833;130.3396226;255;18;71.09367518;1153.436137;2017;760;250.6478415;1451.326226;3322;211;692.4093095;162029.1535;199525;133368;17859.36186;7.206607827;6.101716239;13.23350878;7.667465447;1.179696189;4.554289952;0.689864108;0.995511724;0.473411063;0.192867703;1043.61194;2069;67;449.7412774;3.064964017;3.332584474;2.733663691;0.204234157
Rana_chaochiaoensis;0.811253185;1.55309999;0.401499987;0.183836184;168.9788868;255;58;31.59840453;1214.854167;1626;700;157.4114676;969.9255774;1786;619;187.6889471;170157.6416;198793;137601;12032.3897;13.20629741;4.932007894;18.39688705;4.233623401;8.015766609;5.725348488;1.166990778;1.83682301;0.600751389;0.469626551;2175.781865;4547;320;683.4461938;2.054521505;2.655266677;1.705122326;0.355805315
Rana_chensinensis;0.495941365;1.553200006;0;0.237968768;83.78110364;255;6;46.09689981;1202.996619;1823;706;217.9705582;567.0377205;1488;117;236.4168578;174394.5461;205388;141984;14878.33273;6.268980144;12.44446476;12.22189755;12.3629203;0.316057047;12.54364732;0.81362802;1.948059166;0.18315355;0.634004001;647.6834916;2559;0;502.3202941;2.75738382;3.605783946;2.272063023;0.41766306
Rana_coreana;1.112980941;1.621799946;0;0.189165197;113.9016393;255;32;43.99109709;1072.584211;1365;853;90.06951735;1199.293578;1519;640;142.488951;163412.2899;189855;151941;6676.647205;10.37264148;9.966572006;15.44326256;9.64884124;5.301960159;10.31904114;1.087776358;2.348630056;0.298387673;0.752253126;266.8825688;1075;7;216.1269817;2.292172021;2.757925314;1.948023223;0.28711075
