Species;Genus;phylo_subtree;simpleState;ECOTYPE;SVL (mm);sex_SVL;measure;reference (SVL);;;;
Lithobates_forreri;Lithobates;AM;NEO;Pond-dwelling;120;;;AW 2009;;;;
Lithobates_warszewitschii;Lithobates;AM;NEO;Terrestrial;55.5;both;mean;AW 2009;;;;
Rana_coreana;Rana;EA;AS;Terrestrial;41;both;mean;AW 2009;;;;
Rana_pirica;Rana;EA;AS;Pond-dwelling;63.5;both;mean;AW 2009;;;;
Rana_sakuraii;Rana;EA;AS;Stream-dwelling;58;both;mean;AW 2009;;;;
Rana_pyrenaica;Rana;EA;EU;Stream-dwelling;51;;;Barbadillo et al 1999;;;;
Lithobates_bwana;Lithobates;AM;NEO;Stream-dwelling;94.6;both;max;DM Hillis & R De Sá 1988 Herpetological Monographs;;;;
Lithobates_juliani;Lithobates;AM;NEO;Stream-dwelling;70;males;max;DM Hillis & R De Sá 1988 Herpetological Monographs;;;;
Lithobates_palmipes;Lithobates;AM;NEO;Terrestrial;116.4;both;max;DM Hillis & R De Sá 1988 Herpetological Monographs;;;;
Lithobates_sierramadrensis;Lithobates;AM;MEX;Stream-dwelling;99;both;max;DM Hillis & R De Sá 1988 Herpetological Monographs;;;;
Lithobates_vaillanti;Lithobates;AM;NEO;Terrestrial;108.1;both;max;DM Hillis & R De Sá 1988 Herpetological Monographs;;;;
Lithobates_vibicaria;Lithobates;AM;NEO;Pond-dwelling;76.5;both;max;DM Hillis & R De Sá 1988 Herpetological Monographs;;;;
Rana_sierrae;Rana;EA;NAM;Pond-dwelling;72;;;Fellers et al 2013;;;;
Lithobates_neovolcanica;Lithobates;AM;MEX;Pond-dwelling;71.4;female;holotype;Hillis & Frost 1985;;;;
Lithobates_spectabilis;Lithobates;AM;MEX;Terrestrial;67;female;holotype;Hillis & Frost 1985;;;;
Lithobates_zweifeli;Lithobates;AM;MEX;Pond-dwelling;100.1;;;Hillis et al 1984;;;;
Lithobates_maculata;Lithobates;AM;NEO;Pond-dwelling;97.4;;;Hillis&De Sa (1988), McCranie&W-2002;;;;
Lithobates_areolata;Lithobates;AM;NAM;Terrestrial;92;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_berlandieri;Lithobates;AM;MEX;Stream-dwelling;114;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_blairi;Lithobates;AM;NAM;Pond-dwelling;111;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_capito;Lithobates;AM;NAM;Terrestrial;103;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_catesbeiana;Lithobates;AM;NAM;Pond-dwelling;203;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_chiricahuensis;Lithobates;AM;MEX;Pond-dwelling;137;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_clamitans;Lithobates;AM;NAM;Pond-dwelling;101.8;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_grylio;Lithobates;AM;NAM;Pond-dwelling;162;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_heckscheri;Lithobates;AM;NAM;Pond-dwelling;155;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_okaloosae;Lithobates;AM;NAM;Pond-dwelling;49;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_onca;Lithobates;AM;MEX;Stream-dwelling;89;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_palustris;Lithobates;AM;NAM;Terrestrial;87;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_pipiens;Lithobates;AM;NAM;Pond-dwelling;111;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_septentrionalis;Lithobates;AM;NAM;Pond-dwelling;76;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_sphenocephala;Lithobates;AM;NAM;Pond-dwelling;127;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
Lithobates_sylvatica;Lithobates;AM;NAM;Terrestrial;82.5;both;mean;MA Olalla-Tárraga & MA Rodríguez 2007 GEB;;;;
